"sample","dose","age_group","compartment","value"
"1","b","1","C",9.77399079013273e-16
"1","b","1","D",0.00000000000915567861294378
"1","b","10","C",29.3944104856809
"1","b","10","D",4.38465529207281
"1","b","2","C",0.0000606201097401976
"1","b","2","D",0.00000143389901910266
"1","b","3","C",0.014762455512599
"1","b","3","D",0.000432557697153283
"1","b","4","C",1.28831906572995
"1","b","4","D",0.0578338494214487
"1","b","5","C",4.41198473872429
"1","b","5","D",0.203752572971461
"1","b","6","C",7.41491560150499
"1","b","6","D",0.416570000883097
"1","b","7","C",21.248732355413
"1","b","7","D",1.53035922930604
"1","b","8","C",66.7003977148903
"1","b","8","D",6.68244156551747
"1","b","9","C",68.5886832707985
"1","b","9","D",8.58516520701174
"1","u","1","C",18.8490083198546
"1","u","1","D",1.16208114077008
"1","u","10","C",3.23698600225494
"1","u","10","D",1.60018639177245
"1","u","2","C",19.1395913959046
"1","u","2","D",1.48641607737593
"1","u","3","C",8.5435610161158
"1","u","3","D",0.839362966476309
"1","u","4","C",39.1762160995021
"1","u","4","D",4.48876193320071
"1","u","5","C",72.3638392980121
"1","u","5","D",9.88890473191319
"1","u","6","C",70.1944646376074
"1","u","6","D",12.6249469045465
"1","u","7","C",77.771238907014
"1","u","7","D",18.7707766193967
"1","u","8","C",23.9266286570229
"1","u","8","D",7.96683331988118
"1","u","9","C",6.99968285802848
"1","u","9","D",2.92015281705526
"1","v","1","C",0.000567291431283575
"1","v","1","D",0.0000348654221059175
"1","v","10","C",20.2354861247871
"1","v","10","D",9.99499447538519
"1","v","2","C",5.38578266393116
"1","v","2","D",0.383875111745101
"1","v","3","C",4.58317384224571
"1","v","3","D",0.446879748922637
"1","v","4","C",16.9231577151654
"1","v","4","D",1.93384071687295
"1","v","5","C",24.6761328318485
"1","v","5","D",3.36388298858387
"1","v","6","C",22.7524020578014
"1","v","6","D",4.08061107346202
"1","v","7","C",32.4449964891681
"1","v","7","D",7.80395506472489
"1","v","8","C",39.06457368007
"1","v","8","D",12.97095099589
"1","v","9","C",31.1714253619808
"1","v","9","D",12.988087855618
"1","w","1","C",0.0000977910712088359
"1","w","1","D",0.00000361075173711837
"1","w","10","C",65.9009326323696
"1","w","10","D",32.3086156245358
"1","w","2","C",0.75203737614524
"1","w","2","D",0.0196319445608573
"1","w","3","C",7.14998183316613
"1","w","3","D",0.419660736056344
"1","w","4","C",29.4123836054734
"1","w","4","D",2.61192804465209
"1","w","5","C",51.1414444786412
"1","w","5","D",5.87919067992068
"1","w","6","C",57.5006582806927
"1","w","6","D",8.45582324767706
"1","w","7","C",92.0932140397161
"1","w","7","D",19.1932414047317
"1","w","8","C",139.266104106976
"1","w","8","D",45.295038966816
"1","w","9","C",131.227719520034
"1","w","9","D",54.1192460397393
"2","b","1","C",1.13250300062635e-15
"2","b","1","D",0.0000000000057968871201755
"2","b","10","C",31.0371192987158
"2","b","10","D",2.91112263807463
"2","b","2","C",0.0000643212626580573
"2","b","2","D",0.000000950325379975777
"2","b","3","C",0.015696232391048
"2","b","3","D",0.000288410909641235
"2","b","4","C",1.36276280969158
"2","b","4","D",0.0378462956551691
"2","b","5","C",4.66040368847287
"2","b","5","D",0.134178624688384
"2","b","6","C",7.83453114790176
"2","b","6","D",0.275571122197265
"2","b","7","C",22.4552045485159
"2","b","7","D",1.01526658410572
"2","b","8","C",70.5317868884527
"2","b","8","D",4.43496060553272
"2","b","9","C",72.5749032877762
"2","b","9","D",5.70529782990865
"2","u","1","C",18.7891333560383
"2","u","1","D",1.15727454654817
"2","u","10","C",3.22204147106652
"2","u","10","D",1.59142198486493
"2","u","2","C",19.1079125287578
"2","u","2","D",1.48218635073016
"2","u","3","C",8.54553341882573
"2","u","3","D",0.838426751704639
"2","u","4","C",39.0516632163118
"2","u","4","D",4.47001845503111
"2","u","5","C",72.0438432687213
"2","u","5","D",9.83587272700555
"2","u","6","C",69.8963831977695
"2","u","6","D",12.5586657866376
"2","u","7","C",77.4430672895103
"2","u","7","D",18.6712343248019
"2","u","8","C",23.834537269476
"2","u","8","D",7.92691260582964
"2","u","9","C",6.97563735379408
"2","u","9","D",2.90671733720309
"2","v","1","C",0.000565338219276297
"2","v","1","D",0.0000347133362825741
"2","v","10","C",20.1410160635909
"2","v","10","D",9.93981093595294
"2","v","2","C",5.37863896857181
"2","v","2","D",0.383092593407299
"2","v","3","C",4.58140897889511
"2","v","3","D",0.446153819087977
"2","v","4","C",16.8659073644737
"2","v","4","D",1.92543794177715
"2","v","5","C",24.5622903352324
"2","v","5","D",3.34530674821869
"2","v","6","C",22.6509708670753
"2","v","6","D",4.05847558823201
"2","v","7","C",32.2999725246009
"2","v","7","D",7.76097888369882
"2","v","8","C",38.9065339183923
"2","v","8","D",12.9038903060532
"2","v","9","C",31.0616425646711
"2","v","9","D",12.9274115157718
"2","w","1","C",0.000100172404556021
"2","w","1","D",0.00000489257290399096
"2","w","10","C",65.6321530628625
"2","w","10","D",32.2696279212736
"2","w","2","C",0.775419493897183
"2","w","2","D",0.0267645861680115
"2","w","3","C",7.34596298816044
"2","w","3","D",0.56941044788525
"2","w","4","C",29.7722480198745
"2","w","4","D",3.00698867884333
"2","w","5","C",51.4665466369606
"2","w","5","D",6.43891326703018
"2","w","6","C",57.9673143483019
"2","w","6","D",9.41504088654701
"2","w","7","C",92.534137935675
"2","w","7","D",20.6819597389888
"2","w","8","C",138.9156628412
"2","w","8","D",45.5914546041594
"2","w","9","C",130.873411336031
"2","w","9","D",54.1908990107611
"3","b","1","C",1.10474338589159e-15
"3","b","1","D",0.0000000000116564738559408
"3","b","10","C",29.9630294786656
"3","b","10","D",5.47584691888891
"3","b","2","C",0.0000621416325881973
"3","b","2","D",0.00000179573788860862
"3","b","3","C",0.0151658398725232
"3","b","3","D",0.000543596556526438
"3","b","4","C",1.31630293158386
"3","b","4","D",0.0719669569894038
"3","b","5","C",4.50063502655456
"3","b","5","D",0.253847092190637
"3","b","6","C",7.56572273427596
"3","b","6","D",0.519886039950712
"3","b","7","C",21.6845033149879
"3","b","7","D",1.91194960053526
"3","b","8","C",68.110193439576
"3","b","8","D",8.35233589867216
"3","b","9","C",70.0800743963153
"3","b","9","D",10.7390414712307
"3","u","1","C",18.8243549183008
"3","u","1","D",1.16031348652236
"3","u","10","C",3.22923075047568
"3","u","10","D",1.59613924190081
"3","u","2","C",19.1493444713856
"3","u","2","D",1.48673434721903
"3","u","3","C",8.55429851862001
"3","u","3","D",0.840082869953208
"3","u","4","C",39.1393345731244
"3","u","4","D",4.48381657757247
"3","u","5","C",72.2013587033668
"3","u","5","D",9.86514333081004
"3","u","6","C",70.0411728184664
"3","u","6","D",12.595149122183
"3","u","7","C",77.5900152475446
"3","u","7","D",18.7230080079879
"3","u","8","C",23.8740705225429
"3","u","8","D",7.94724392701463
"3","u","9","C",6.98582952012365
"3","u","9","D",2.91353396583385
"3","v","1","C",0.000566485649154845
"3","v","1","D",0.0000348093683630643
"3","v","10","C",20.1867746927164
"3","v","10","D",9.9696340193345
"3","v","2","C",5.38593661324781
"3","v","2","D",0.383813834050659
"3","v","3","C",4.58751959610096
"3","v","3","D",0.447162609668792
"3","v","4","C",16.9058838898061
"3","v","4","D",1.93158934101861
"3","v","5","C",24.6186991219504
"3","v","5","D",3.3555811208232
"3","v","6","C",22.700639947478
"3","v","6","D",4.07069168084114
"3","v","7","C",32.365739008062
"3","v","7","D",7.78343337000995
"3","v","8","C",38.9752183208436
"3","v","8","D",12.9381994541992
"3","v","9","C",31.1085006086439
"3","v","9","D",12.958281435084
"3","w","1","C",0.0000980573536764908
"3","w","1","D",0.0000035927513274948
"3","w","10","C",65.7491708801163
"3","w","10","D",32.2259017884665
"3","w","2","C",0.755849893108527
"3","w","2","D",0.0195769720620741
"3","w","3","C",7.1863149657704
"3","w","3","D",0.418512230154065
"3","w","4","C",29.451372693501
"3","w","4","D",2.6051241709006
"3","w","5","C",51.1066692862773
"3","w","5","D",5.85919982525393
"3","w","6","C",57.478141401864
"3","w","6","D",8.42590702694481
"3","w","7","C",91.9950324346744
"3","w","7","D",19.1276863786185
"3","w","8","C",138.982177542168
"3","w","8","D",45.1767256461495
"3","w","9","C",130.982418161733
"3","w","9","D",53.9935265358615
"4","b","1","C",9.39220488509145e-16
"4","b","1","D",0.00000000000990622816595587
"4","b","10","C",25.6797378948578
"4","b","10","D",3.94006222820024
"4","b","2","C",0.0000534524758721752
"4","b","2","D",0.00000131962027166531
"4","b","3","C",0.013059355679809
"4","b","3","D",0.000395090951773221
"4","b","4","C",1.1302126641722
"4","b","4","D",0.054352810795038
"4","b","5","C",3.86075101976759
"4","b","5","D",0.187430052759634
"4","b","6","C",6.49051695497942
"4","b","6","D",0.37906408417105
"4","b","7","C",18.6044982967434
"4","b","7","D",1.38268857197984
"4","b","8","C",58.4514613768273
"4","b","8","D",6.04285239993665
"4","b","9","C",60.1518969759561
"4","b","9","D",7.75327671862593
"4","u","1","C",19.0098086152169
"4","u","1","D",1.17311086851911
"4","u","10","C",3.26149240184362
"4","u","10","D",1.61394427009888
"4","u","2","C",19.3507741674799
"4","u","2","D",1.50461469707668
"4","u","3","C",8.63070947465167
"4","u","3","D",0.8489525874033
"4","u","4","C",39.5494241644205
"4","u","4","D",4.53679063406481
"4","u","5","C",72.9174771152019
"4","u","5","D",9.97514151160847
"4","u","6","C",70.7257173054495
"4","u","6","D",12.734632749776
"4","u","7","C",78.3234789697262
"4","u","7","D",18.9254653781604
"4","u","8","C",24.0917411437314
"4","u","8","D",8.03098910115627
"4","u","9","C",7.04772311373607
"4","u","9","D",2.94345852393359
"4","v","1","C",0.000572200536376781
"4","v","1","D",0.0000352005599703981
"4","v","10","C",20.3894074439104
"4","v","10","D",10.0812678806529
"4","v","2","C",5.43770269715896
"4","v","2","D",0.387839943902017
"4","v","3","C",4.63125168682874
"4","v","3","D",0.452116463448355
"4","v","4","C",17.0861799435164
"4","v","4","D",1.95471775825762
"4","v","5","C",24.8666789486581
"4","v","5","D",3.3934409979862
"4","v","6","C",22.9263826885805
"4","v","6","D",4.11636629630124
"4","v","7","C",32.6780403295459
"4","v","7","D",7.86889597300485
"4","v","8","C",39.3365777059284
"4","v","8","D",13.0762373412054
"4","v","9","C",31.3862693183966
"4","v","9","D",13.0921509686219
"4","w","1","C",0.0000964394861106983
"4","w","1","D",0.00000389419184450259
"4","w","10","C",66.3726406191878
"4","w","10","D",32.6137199072875
"4","w","2","C",0.739254775974369
"4","w","2","D",0.0210996350474138
"4","w","3","C",7.06459417319188
"4","w","3","D",0.453399594082294
"4","w","4","C",29.3246498597917
"4","w","4","D",2.71800955093419
"4","w","5","C",51.0832819391581
"4","w","5","D",6.0442355472567
"4","w","6","C",57.356189791309
"4","w","6","D",8.72242560763447
