"sample","dose","age_group","compartment","value"
"1","b","1","C",0.000189955816020757
"1","b","1","D",0.00000396901655463292
"1","b","10","C",3842.54530053774
"1","b","10","D",644.771034049693
"1","b","2","C",0.00263106240616808
"1","b","2","D",0.0000637291780595
"1","b","3","C",1.3221608998528
"1","b","3","D",0.0427014303529824
"1","b","4","C",149.002926695683
"1","b","4","D",5.67319395330316
"1","b","5","C",545.168258745879
"1","b","5","D",24.4622889746156
"1","b","6","C",919.482253239663
"1","b","6","D",54.4139947417019
"1","b","7","C",2706.12767989684
"1","b","7","D",217.059530473728
"1","b","8","C",7562.00983996673
"1","b","8","D",848.170349645875
"1","b","9","C",6882.11485278395
"1","b","9","D",973.094665443254
"1","u","1","C",726.330831479141
"1","u","1","D",50.0441464993746
"1","u","10","C",4537.41062297841
"1","u","10","D",2563.17537211492
"1","u","2","C",991.398204010242
"1","u","2","D",79.0760557828691
"1","u","3","C",141.77913323466
"1","u","3","D",15.1465731689779
"1","u","4","C",868.875543118852
"1","u","4","D",108.058986830505
"1","u","5","C",2410.75174052414
"1","u","5","D",362.095202629617
"1","u","6","C",3074.36409326691
"1","u","6","D",615.673850650837
"1","u","7","C",3049.58951479209
"1","u","7","D",833.446581904131
"1","u","8","C",1828.8047607069
"1","u","8","D",700.799093766599
"1","u","9","C",3160.96769551829
"1","u","9","D",1526.66706118197
"1","v","1","C",0.0352531826013126
"1","v","1","D",0.00242985077647428
"1","v","10","C",1910.79197780834
"1","v","10","D",1077.48045421015
"1","v","2","C",40.2468698028418
"1","v","2","D",3.21040822703111
"1","v","3","C",175.528469795368
"1","v","3","D",18.7947601151976
"1","v","4","C",1091.02681585956
"1","v","4","D",135.400068138502
"1","v","5","C",1613.87532169576
"1","v","5","D",241.792237323702
"1","v","6","C",1417.65701063878
"1","v","6","D",282.949786590474
"1","v","7","C",1932.97906533767
"1","v","7","D",526.20485407041
"1","v","8","C",2188.20124832307
"1","v","8","D",835.907542224276
"1","v","9","C",1627.17556326372
"1","v","9","D",784.737714924493
"1","w","1","C",0.00613460922221714
"1","w","1","D",0.000279119175278717
"1","w","10","C",4995.71469367636
"1","w","10","D",2804.6669645763
"1","w","2","C",0.125420926385699
"1","w","2","D",0.00619675259196319
"1","w","3","C",187.29677565808
"1","w","3","D",12.1015220862172
"1","w","4","C",1961.63095068954
"1","w","4","D",193.810025278862
"1","w","5","C",3603.66396624684
"1","w","5","D",449.572976457043
"1","w","6","C",3526.3366272477
"1","w","6","D",587.82062186218
"1","w","7","C",5330.26269678723
"1","w","7","D",1257.71589064408
"1","w","8","C",7008.01560244497
"1","w","8","D",2630.43293062854
"1","w","9","C",6277.66923184494
"1","w","9","D",3008.16002361893
"2","b","1","C",0.000210066554920206
"2","b","1","D",0.00000275006517778459
"2","b","10","C",4154.75076526282
"2","b","10","D",437.174395983032
"2","b","2","C",0.00292481654790711
"2","b","2","D",0.0000443868627332483
"2","b","3","C",1.476925427492
"2","b","3","D",0.0299164196150077
"2","b","4","C",163.635899119029
"2","b","4","D",3.89590007831238
"2","b","5","C",597.700517909644
"2","b","5","D",16.805459541426
"2","b","6","C",1007.53179087518
"2","b","6","D",37.3761478179441
"2","b","7","C",2966.12261428985
"2","b","7","D",149.130292565362
"2","b","8","C",8278.06774201399
"2","b","8","D",581.750159142233
"2","b","9","C",7520.44002863701
"2","b","9","D",666.281932745015
"2","u","1","C",745.860181153341
"2","u","1","D",51.1921524203949
"2","u","10","C",4589.32909440914
"2","u","10","D",2584.8140809595
"2","u","2","C",1023.70481713796
"2","u","2","D",81.2837887829208
"2","u","3","C",147.211248906322
"2","u","3","D",15.645004934461
