"sample","dose","age_group","compartment","value"
"1","b","1","C",0.0000000000268979750146564
"1","b","1","D",0.0000000187814950298613
"1","b","10","C",455.714352676194
"1","b","10","D",74.1436091232446
"1","b","2","C",0.000000000134236608684517
"1","b","2","D",0.0000000949377729532502
"1","b","3","C",0.0592390931048175
"1","b","3","D",0.00188255863140721
"1","b","4","C",14.1758238306564
"1","b","4","D",0.519581014091587
"1","b","5","C",55.0877360767948
"1","b","5","D",2.3970771562186
"1","b","6","C",101.836595491063
"1","b","6","D",5.86029267692514
"1","b","7","C",262.230963289821
"1","b","7","D",20.4985025534564
"1","b","8","C",668.109070516853
"1","b","8","D",73.5093744524999
"1","b","9","C",717.329399962378
"1","b","9","D",99.5261150366535
"1","u","1","C",102.06760210411
"1","u","1","D",6.94952905178178
"1","u","10","C",35.1132192591295
"1","u","10","D",19.4337575351533
"1","u","2","C",149.480938954105
"1","u","2","D",11.9104448066009
"1","u","3","C",31.4320311692974
"1","u","3","D",3.33187393346358
"1","u","4","C",214.645756659531
"1","u","4","D",26.1501246130713
"1","u","5","C",436.855391677246
"1","u","5","D",64.3299107184703
"1","u","6","C",340.679520115101
"1","u","6","D",66.9022560339983
"1","u","7","C",302.84355784449
"1","u","7","D",81.2016272858699
"1","u","8","C",71.2229656670968
"1","u","8","D",26.8544232978465
"1","u","9","C",42.0173942839928
"1","u","9","D",20.0266344351579
"1","v","1","C",0.00511864252993099
"1","v","1","D",0.000348199578036363
"1","v","10","C",208.735538182722
"1","v","10","D",115.041024523759
"1","v","2","C",2.09144172282595
"1","v","2","D",0.16659664069913
"1","v","3","C",23.5062158620442
"1","v","3","D",2.49433383568208
"1","v","4","C",146.25040526175
"1","v","4","D",17.7451617307734
"1","v","5","C",227.641049279724
"1","v","5","D",33.3764738338303
"1","v","6","C",201.081142660972
"1","v","6","D",39.3138554075791
"1","v","7","C",275.001528713952
"1","v","7","D",73.4010762342533
"1","v","8","C",253.282690905764
"1","v","8","D",95.2328137037065
"1","v","9","C",200.314805868802
"1","v","9","D",95.356502728724
"1","w","1","C",0.000989575282426583
"1","w","1","D",0.0000533805716562918
"1","w","10","C",514.647536272316
"1","w","10","D",282.463569990763
"1","w","2","C",0.0134527593817232
"1","w","2","D",0.000671967435255298
"1","w","3","C",27.7608344291063
"1","w","3","D",1.77556144578453
"1","w","4","C",256.462767819489
"1","w","4","D",23.0311952205093
"1","w","5","C",433.935987666023
"1","w","5","D",53.2858040003869
"1","w","6","C",457.109292427564
"1","w","6","D",74.5966822853179
"1","w","7","C",622.031035435638
"1","w","7","D",147.677041402016
"1","w","8","C",789.008082879825
"1","w","8","D",292.384785103426
"1","w","9","C",730.916212146236
"1","w","9","D",345.729861051608
"2","b","1","C",0.0000000000316849123128509
"2","b","1","D",0.0000000117213787761228
"2","b","10","C",492.73917190664
"2","b","10","D",50.2720096310506
"2","b","2","C",0.000000000159035904149184
"2","b","2","D",0.000000059327530855036
"2","b","3","C",0.065677890563361
"2","b","3","D",0.0013083113645418
"2","b","4","C",15.4719746856382
"2","b","4","D",0.354906601730403
"2","b","5","C",60.0761686659737
"2","b","5","D",1.63818482559226
"2","b","6","C",111.212073065378
"2","b","6","D",4.01103894680584
"2","b","7","C",287.093023190347
"2","b","7","D",14.0622086367176
"2","b","8","C",733.222462348956
"2","b","8","D",50.5257748587391
"2","b","9","C",785.537563121461
"2","b","9","D",68.2693573130712
"2","u","1","C",104.193722274113
"2","u","1","D",7.06869422799438
"2","u","10","C",35.4622163576332
"2","u","10","D",19.5727034981901
"2","u","2","C",153.211453983185
"2","u","2","D",12.1580469489869
"2","u","3","C",32.3628961466033
"2","u","3","D",3.41443164879954
"2","u","4","C",217.936300445658
"2","u","4","D",26.474118842357
"2","u","5","C",443.313867844245
"2","u","5","D",65.0847622180772
"2","u","6","C",346.059641933305
"2","u","6","D",67.7279499355207
"2","u","7","C",308.221835452445
"2","u","7","D",82.3101855067219
"2","u","8","C",72.6192827557115
"2","u","8","D",27.2553041218336
"2","u","9","C",42.75138425624
"2","u","9","D",20.291302169556
"2","v","1","C",0.00521855107454663
"2","v","1","D",0.000353774883542048
"2","v","10","C",210.799393771945
"2","v","10","D",115.853355823473
"2","v","2","C",2.14105399673846
"2","v","2","D",0.16988120360157
"2","v","3","C",24.1060180351177
"2","v","3","D",2.5471238517046
"2","v","4","C",148.295963048981
"2","v","4","D",17.9446396844663
"2","v","5","C",230.687487319314
"2","v","5","D",33.728094236121
"2","v","6","C",203.939019459592
"2","v","6","D",39.746777949016
"2","v","7","C",279.289790608377
"2","v","7","D",74.2713311439662
"2","v","8","C",257.810987729733
"2","v","8","D",96.5192576850663
"2","v","9","C",203.71959706591
"2","v","9","D",96.5798851357791
"2","w","1","C",0.00102223780728147
"2","w","1","D",0.0000618637388063728
"2","w","10","C",520.025103544232
"2","w","10","D",285.34303265836
"2","w","2","C",0.0140883028782373
"2","w","2","D",0.000904685654399243
"2","w","3","C",29.2294249776906
"2","w","3","D",2.4632174459074
"2","w","4","C",264.682402303468
"2","w","4","D",27.7184270277223
"2","w","5","C",444.629111004586
"2","w","5","D",59.4963603618738
"2","w","6","C",468.756960563658
"2","w","6","D",83.4628147546431
"2","w","7","C",636.178101544019
"2","w","7","D",159.312050830248
"2","w","8","C",804.128598009265
"2","w","8","D",298.74686187586
"2","w","9","C",743.946148068733
"2","w","9","D",351.525537897269
"3","b","1","C",0.0000000000303577675519278
"3","b","1","D",0.0000000229774685182188
"3","b","10","C",474.681636281429
"3","b","10","D",94.2621378133701
"3","b","2","C",0.000000000152207843094794
"3","b","2","D",0.000000116347909247437
"3","b","3","C",0.0637335747157243
"3","b","3","D",0.00247059903375542
"3","b","4","C",14.9453193495281
"3","b","4","D",0.667885365682127
"3","b","5","C",58.0200756787898
"3","b","5","D",3.08010597918679
"3","b","6","C",107.449415969762
"3","b","6","D",7.54241562021674
"3","b","7","C",277.597406970237
"3","b","7","D",26.4572584620989
"3","b","8","C",709.49468898482
"3","b","8","D",95.1241756829023
"3","b","9","C",759.598331706415
"3","b","9","D",128.446692992749
"3","u","1","C",104.116265088206
"3","u","1","D",7.06234032383217
"3","u","10","C",35.3736068097646
"3","u","10","D",19.5250374947964
"3","u","2","C",153.162808003862
"3","u","2","D",12.1526321898954
"3","u","3","C",32.3628647445906
"3","u","3","D",3.41409245399866
"3","u","4","C",217.587821198327
"3","u","4","D",26.4298230835401
"3","u","5","C",442.567537910365
"3","u","5","D",64.9686565359967
"3","u","6","C",345.539844480456
"3","u","6","D",67.6178357784217
"3","u","7","C",307.858552798042
"3","u","7","D",82.2002133803972
"3","u","8","C",72.5558327839532
"3","u","8","D",27.2263762883456
"3","u","9","C",42.7056842770799
"3","u","9","D",20.2654646802305
"3","v","1","C",0.00521380878144977
"3","v","1","D",0.000353398600547816
"3","v","10","C",210.268220303004
"3","v","10","D",115.570881678609
"3","v","2","C",2.14012611468376
"3","v","2","D",0.169784833224549
"3","v","3","C",24.1000438995169
"3","v","3","D",2.54615078277482
"3","v","4","C",148.019958066294
"3","v","4","D",17.9104911742854
"3","v","5","C",230.234001658334
"3","v","5","D",33.65960185043
"3","v","6","C",203.571939860285
"3","v","6","D",39.6717039339899
"3","v","7","C",278.863248523641
"3","v","7","D",74.1483248836933
"3","v","8","C",257.523426101456
"3","v","8","D",96.3946293005605
"3","v","9","C",203.48483509225
"3","v","9","D",96.4497536116952
"3","w","1","C",0.00100869789096065
"3","w","1","D",0.0000540577696950794
"3","w","10","C",518.556096975559
"3","w","10","D",283.803883757319
"3","w","2","C",0.0137715436880367
"3","w","2","D",0.000680753982521003
"3","w","3","C",28.5424100790247
"3","w","3","D",1.8042114915612
"3","w","4","C",260.138210506455
"3","w","4","D",23.2001868611697
"3","w","5","C",439.474825919414
"3","w","5","D",53.6786606243437
"3","w","6","C",463.321110083797
"3","w","6","D",75.1788183423914
"3","w","7","C",631.026572196191
"3","w","7","D",149.008265043645
"3","w","8","C",802.562497655989
"3","w","8","D",296.009754820347
"3","w","9","C",742.827262820054
"3","w","9","D",349.801322207901
"4","b","1","C",0.0000000000256319199231961
"4","b","1","D",0.0000000196272384359675
"4","b","10","C",405.36206072352
"4","b","10","D",67.4807804640414
"4","b","2","C",0.000000000128798701721746
"4","b","2","D",0.0000000995223939673686
"4","b","3","C",0.0556953119010292
"4","b","3","D",0.00180960198982656
"4","b","4","C",12.9108660713933
"4","b","4","D",0.485547590500746
"4","b","5","C",50.1058774936203
"4","b","5","D",2.2317299243363
"4","b","6","C",92.9101527796002
"4","b","6","D",5.46561949805031
"4","b","7","C",240.639298406722
"4","b","7","D",19.2045749598501
"4","b","8","C",616.176689567355
"4","b","8","D",69.169460288743
"4","b","9","C",657.951818067983
"4","b","9","D",93.1618999888072
"4","u","1","C",103.558660968585
"4","u","1","D",7.03508712125762
"4","u","10","C",35.2895687753482
"4","u","10","D",19.5069726988228
"4","u","2","C",152.176977654641
"4","u","2","D",12.0946466598674
"4","u","3","C",32.1131616653905
"4","u","3","D",3.39408476043026
"4","u","4","C",216.829797294642
"4","u","4","D",26.3751087875929
"4","u","5","C",440.969558994919
"4","u","5","D",64.8250866287728
"4","u","6","C",344.163455711232
"4","u","6","D",67.453678701454
"4","u","7","C",306.421107505172
"4","u","7","D",81.9627539615731
"4","u","8","C",72.1714389374028
"4","u","8","D",27.1357374301199
"4","u","9","C",42.504036144398
"4","u","9","D",20.2071990627192
"4","v","1","C",0.00518808494736189
"4","v","1","D",0.000352170122945116
"4","v","10","C",209.763537431275
"4","v","10","D",115.464340862508
"4","v","2","C",2.12715687967398
"4","v","2","D",0.16903233908196
"4","v","3","C",23.9421026306266
"4","v","3","D",2.53389456857154
"4","v","4","C",147.576922461189
"4","v","4","D",17.8813650144121
"4","v","5","C",229.512954864142
"4","v","5","D",33.5996419650223
"4","v","6","C",202.86915040802
"4","v","6","D",39.5939766871687
"4","v","7","C",277.758588368075
"4","v","7","D",73.9798160744951
"4","v","8","C",256.301353416708
"4","v","8","D",96.1198507258587
"4","v","9","C",202.555297169312
"4","v","9","D",96.1852614119512
"4","w","1","C",0.000990365035736017
"4","w","1","D",0.0000553967780313614
"4","w","10","C",517.102872065712
"4","w","10","D",283.696828178488
"4","w","2","C",0.0133627795307313
"4","w","2","D",0.000721931673755538
"4","w","3","C",27.6168660088126
"4","w","3","D",1.92456641194488
"4","w","4","C",254.927993132764
"4","w","4","D",24.0383109828509
"4","w","5","C",433.417378882679
"4","w","5","D",54.7001737290997
"4","w","6","C",456.739313083606
"4","w","6","D",76.6280850900143
"4","w","7","C",624.090720886541
"4","w","7","D",150.6553698755
"4","w","8","C",797.925764762355
"4","w","8","D",295.60440147383
"4","w","9","C",739.025794470889
"4","w","9","D",349.054946228455
"5","b","1","C",0.000000000026703823411511
"5","b","1","D",0.0000000185355643386566
"5","b","10","C",446.469525712207
"5","b","10","D",71.363182070214
"5","b","2","C",0.000000000134029119852471
"5","b","2","D",0.0000000939667245386966
"5","b","3","C",0.061038590590347
"5","b","3","D",0.00190416184479249
"5","b","4","C",14.2039847048167
"5","b","4","D",0.511211840627633
"5","b","5","C",55.1383957350505
"5","b","5","D",2.35499918766601
"5","b","6","C",102.214967387816
"5","b","6","D",5.77035318431268
"5","b","7","C",264.619447778301
"5","b","7","D",20.2761947314096
"5","b","8","C",677.182627718696
"5","b","8","D",72.9929506501241
"5","b","9","C",723.311278377692
"5","b","9","D",98.3463345800809
"5","u","1","C",102.630808279276
"5","u","1","D",6.98058212061877
"5","u","10","C",35.1452871552761
"5","u","10","D",19.4341348891677
"5","u","2","C",150.54752083036
"5","u","2","D",11.9820947895165
"5","u","3","C",31.7037867872825
"5","u","3","D",3.35639436866708
"5","u","4","C",215.470225656938
"5","u","4","D",26.229220933268
"5","u","5","C",438.269747733086
"5","u","5","D",64.4780574304155
"5","u","6","C",341.886753596398
"5","u","6","D",67.0691706982638
"5","u","7","C",304.099140696516
"5","u","7","D",81.4378332255098
"5","u","8","C",71.5598526717232
"5","u","8","D",26.9443625511841
"5","u","9","C",42.1856597712867
"5","u","9","D",20.0811448200446
"5","v","1","C",0.00514478865971672
"5","v","1","D",0.000349628122296894
"5","v","10","C",208.899478380663
"5","v","10","D",115.028134459609
"5","v","2","C",2.10558113013166
"5","v","2","D",0.167543852706671
"5","v","3","C",23.6803854135338
"5","v","3","D",2.50993709058302
"5","v","4","C",146.744887126754
"5","v","4","D",17.7916295808703
"5","v","5","C",228.258564340072
"5","v","5","D",33.4374549777376
"5","v","6","C",201.678690201654
"5","v","6","D",39.3917742986716
"5","v","7","C",275.939466116177
"5","v","7","D",73.5666301259482
"5","v","8","C",254.338794430664
"5","v","8","D",95.5047150381214
"5","v","9","C",201.083679833193
"5","v","9","D",95.6019903898696
"5","w","1","C",0.00101002675413068
"5","w","1","D",0.000061778129084561
"5","w","10","C",515.30960051992
"5","w","10","D",283.354383154115
"5","w","2","C",0.0139186575423851
"5","w","2","D",0.000911181061083241
"5","w","3","C",28.8117467389125
"5","w","3","D",2.47989032146998
"5","w","4","C",262.428218921272
"5","w","4","D",27.8343719801649
"5","w","5","C",440.486246415873
"5","w","5","D",59.4326390113645
"5","w","6","C",464.185581765639
"5","w","6","D",83.3641760801198
"5","w","7","C",629.240164536491
"5","w","7","D",158.625235324794
"5","w","8","C",793.226255534051
"5","w","8","D",295.742236898008
"5","w","9","C",734.171115179708
"5","w","9","D",347.995004645457
"6","b","1","C",0.0000000000315937327795014
"6","b","1","D",0.00000000784836866796793
"6","b","10","C",522.055000208605
"6","b","10","D",35.8394409931729
"6","b","2","C",0.000000000158425672395001
"6","b","2","D",0.0000000397156257156978
"6","b","3","C",0.0692037953574134
"6","b","3","D",0.000927445590398931
"6","b","4","C",16.3765306155438
"6","b","4","D",0.25229731893325
"6","b","5","C",63.6090394566879
"6","b","5","D",1.16604215665017
"6","b","6","C",117.716193061201
"6","b","6","D",2.85542763382676
"6","b","7","C",303.734854810023
"6","b","7","D",10.009418039168
"6","b","8","C",775.193515610178
"6","b","8","D",35.9456155069177
"6","b","9","C",830.696866158585
"6","b","9","D",48.5822373818946
"6","u","1","C",102.679103052983
"6","u","1","D",6.98151476379003
"6","u","10","C",35.174461861994
"6","u","10","D",19.4416986459915
"6","u","2","C",150.595477147104
"6","u","2","D",11.9811791339017
"6","u","3","C",31.7140851803482
"6","u","3","D",3.35603149111015
"6","u","4","C",215.546269820174
"6","u","4","D",26.2275233490519
"6","u","5","C",438.553608632813
"6","u","5","D",64.4962931333094
"6","u","6","C",342.119137312817
"6","u","6","D",67.0882251005319
"6","u","7","C",304.318960158806
"6","u","7","D",81.4616957843544
"6","u","8","C",71.6114412267443
"6","u","8","D",26.9515137136587
"6","u","9","C",42.2148926311003
"6","u","9","D",20.0865928507197
"6","v","1","C",0.00514709422280186
"6","v","1","D",0.000349667238162632
"6","v","10","C",209.082186599463
"6","v","10","D",115.076180185088
"6","v","2","C",2.10620384987695
"6","v","2","D",0.167527628979089
"6","v","3","C",23.6865449583574
"6","v","3","D",2.50954482925678
"6","v","4","C",146.793641814728
"6","v","4","D",17.7899814459179
"6","v","5","C",228.409279430962
"6","v","5","D",33.4471663262862
"6","v","6","C",201.817438734127
"6","v","6","D",39.4031704912792
"6","v","7","C",276.136961341217
"6","v","7","D",73.5878729536345
"6","v","8","C",254.517920797939
"6","v","8","D",95.528894907271
