"sample","dose","age_group","compartment","value"
"1","b","1","C",0.000174910064966581
"1","b","1","D",0.00000372433064233572
"1","b","10","C",2369.73616564129
"1","b","10","D",391.2403340699
"1","b","2","C",0.000563163169208343
"1","b","2","D",0.0000146173375014808
"1","b","3","C",1.04221570755936
"1","b","3","D",0.0334894460503736
"1","b","4","C",121.460117909028
"1","b","4","D",4.5603993258538
"1","b","5","C",439.186138195849
"1","b","5","D",19.3795985878308
"1","b","6","C",740.419020097382
"1","b","6","D",43.1595652304992
"1","b","7","C",2139.68035228805
"1","b","7","D",168.364965557869
"1","b","8","C",4859.45678804986
"1","b","8","D",534.431083175255
"1","b","9","C",4876.84344030465
"1","b","9","D",675.802916080668
"1","u","1","C",434.172342510347
"1","u","1","D",29.8918158980777
"1","u","10","C",2301.39252425071
"1","u","10","D",1276.09063153872
"1","u","2","C",384.351912601582
"1","u","2","D",31.3916940934802
"1","u","3","C",86.9429723533535
"1","u","3","D",9.35852405613084
"1","u","4","C",456.207615793861
"1","u","4","D",56.567869250164
"1","u","5","C",1152.29997227737
"1","u","5","D",172.185260521575
"1","u","6","C",1336.33479882321
"1","u","6","D",266.080760432234
"1","u","7","C",1383.3843340567
"1","u","7","D",374.482609151695
"1","u","8","C",373.530526520992
"1","u","8","D",141.233340719525
"1","u","9","C",947.576174175256
"1","u","9","D",449.966490005327
"1","v","1","C",0.0225550927664063
"1","v","1","D",0.0015512724556272
"1","v","10","C",578.134304754061
"1","v","10","D",320.028486400062
"1","v","2","C",109.740183651378
"1","v","2","D",8.67559029276933
"1","v","3","C",90.835010631881
"1","v","3","D",9.78236952944344
"1","v","4","C",442.559295895262
"1","v","4","D",54.6734813525535
"1","v","5","C",593.60881424979
"1","v","5","D",88.3301911817792
"1","v","6","C",414.648892764458
"1","v","6","D",82.1660108838393
"1","v","7","C",532.327657493474
"1","v","7","D",143.205043669102
"1","v","8","C",630.098698607831
"1","v","8","D",237.137544745217
"1","v","9","C",465.889000143279
"1","v","9","D",220.81002468849
"1","w","1","C",0.00530447221276707
"1","w","1","D",0.000285962766647505
"1","w","10","C",2312.40031291218
"1","w","10","D",1273.77171203324
"1","w","2","C",3.61096845750972
"1","w","2","D",0.109791948436657
"1","w","3","C",129.674217917535
"1","w","3","D",8.41887423848655
"1","w","4","C",1250.36534447052
"1","w","4","D",119.896805975069
"1","w","5","C",2098.412577753
"1","w","5","D",255.30491568309
"1","w","6","C",2043.34748416092
"1","w","6","D",328.844650524732
"1","w","7","C",3019.26847299397
"1","w","7","D",704.12569970085
"1","w","8","C",4205.40503559118
"1","w","8","D",1558.2359882119
"1","w","9","C",2943.97519023498
"1","w","9","D",1384.62136342297
"2","b","1","C",0.000192334375294588
"2","b","1","D",0.00000255816084173682
"2","b","10","C",2546.38499646521
"2","b","10","D",263.686051242944
"2","b","2","C",0.000622576524507158
"2","b","2","D",0.0000100494073453719
"2","b","3","C",1.15778871216978
"2","b","3","D",0.0233314233070593
"2","b","4","C",132.589022335277
"2","b","4","D",3.11321822213338
"2","b","5","C",478.45368918244
"2","b","5","D",13.2311583602188
"2","b","6","C",806.708893130758
"2","b","6","D",29.4760153583176
"2","b","7","C",2327.70250111528
"2","b","7","D",114.798932777738
"2","b","8","C",5277.87377318483
"2","b","8","D",363.652874428212
"2","b","9","C",5285.97575283867
"2","b","9","D",459.025654084959
"2","u","1","C",443.818155339027
"2","u","1","D",30.4450077704599
"2","u","10","C",2319.91332462624
"2","u","10","D",1282.45779979938
"2","u","2","C",391.784266900022
"2","u","2","D",31.8844809354149
"2","u","3","C",89.7811093903472
"2","u","3","D",9.61688909504252
"2","u","4","C",463.598817140412
"2","u","4","D",57.3066918188655
"2","u","5","C",1169.31132806745
