"dose","age_group","compartment","mean","q025","q975"
"b","1","C",0.0000000000451676914868283,0.0000000000370358633965879,0.0000000000563797258512165
"b","1","D",0.0000000492966467715535,0.000000019537519297905,0.0000000932673710222259
"b","10","C",293.377131253843,244.513605547577,345.510241171649
"b","10","D",50.852393871663,20.9651979341952,94.0852664238254
"b","2","C",0.000159108016568683,0.000131702194196869,0.000189774851823475
"b","2","D",0.00000417602550275273,0.00000170036315439935,0.00000773582277373612
"b","3","C",0.177104518521664,0.14620200884588,0.21203936624685
"b","3","D",0.00605592863104752,0.00247109094262395,0.0112110059392793
"b","4","C",20.3943845357643,16.9486244648279,24.1434158146492
"b","4","D",0.813429512641865,0.332354111460143,1.49621300983661
"b","5","C",64.3452127189336,53.4502848868738,76.1060766370635
"b","5","D",3.0051033052979,1.23140397371748,5.53704150334714
"b","6","C",107.271141617464,89.1498025073189,126.90928291581
"b","6","D",6.58459769861858,2.69980001989164,12.12312559682
"b","7","C",272.503632531249,226.479921776322,322.525031584496
"b","7","D",22.5510506743683,9.24519923700924,41.5722450945556
"b","8","C",651.659865180688,541.507619366984,771.759769302611
"b","8","D",75.4870647802062,30.9356869308765,139.247371441806
"b","9","C",532.878381992051,442.781870987335,630.990623280793
"b","9","D",78.0386888568408,32.0079132016207,143.778878202742
"u","1","C",119.206948167554,118.094753926664,121.610558142795
"u","1","D",7.98473072139468,7.92601437311373,8.10037606182077
"u","10","C",1331.38727813653,1323.97022001543,1342.62550184087
"u","10","D",710.501412272909,706.819139888888,715.211817858459
"u","2","C",95.7237080728814,94.7214643579941,97.9463122027375
"u","2","D",7.60996209498001,7.54363137470057,7.7428410648835
"u","3","C",13.1935997935269,12.9848960432438,13.6545386055011
"u","3","D",1.38888788704793,1.37114205938396,1.42799217540508
"u","4","C",302.091266249307,299.900497814729,306.496121716712
"u","4","D",36.1431061860111,35.9306148792338,36.5297375234276
"u","5","C",742.188812793355,736.963939399269,752.136987616237
"u","5","D",107.000868166096,106.370205190676,108.044629764519
"u","6","C",764.583580392818,759.03849715799,775.446642592834
"u","6","D",146.521213457711,145.644367490551,147.989481469767
"u","7","C",1080.74375226471,1072.35866152026,1097.29547709151
"u","7","D",281.925977766511,280.160767734435,284.931228723008
"u","8","C",1752.34274146386,1738.0097854196,1781.51444891305
"u","8","D",641.273578634771,637.174317142545,648.257009639217
"u","9","C",1619.02024273265,1606.7198771486,1643.42170699338
"u","9","D",747.524743512834,742.977856034867,755.08033176712
"v","1","C",0.00472976721173505,0.00468899586575049,0.00481574517892281
"v","1","D",0.00031591429536817,0.000313770214058624,0.000320125986993617
"v","10","C",126.285015163179,125.574753712516,127.357940474955
"v","10","D",67.2670666400097,66.9149804854653,67.7152981938633
"v","2","C",34.6040338133421,34.2497190101371,35.3281072355709
"v","2","D",2.68317030712376,2.65986601826793,2.73126055294541
"v","3","C",18.5014290753154,18.2571123624073,19.0347327708596
"v","3","D",1.94467331464641,1.92428427273874,1.98995118021267
"v","4","C",121.002837295836,120.185218010291,122.631829933793
"v","4","D",14.4226517619763,14.3425106864628,14.559062656034
"v","5","C",162.527799658095,161.4575513694,164.522049809788
"v","5","D",23.320670997757,23.1905210967087,23.5285198627868
"v","6","C",128.82264359529,127.959812516395,130.41958494919
"v","6","D",24.5414632505862,24.4039087692109,24.7595479266371
"v","7","C",171.92685377186,170.728617279099,174.11584328913
"v","7","D",44.5051207171894,44.2498031930384,44.9081338998604
"v","8","C",180.152528006682,178.777432282993,182.875468795029
"v","8","D",65.6240692261673,65.2235336470886,66.293301593776
"v","9","C",132.419772210816,131.441513598364,134.331148112446
"v","9","D",60.9882328441121,60.6275836357755,61.5835346379216
"w","1","C",0.00296927312614383,0.00286257917984707,0.00308562203626466
"w","1","D",0.000157612758685642,0.000114681407208519,0.000204689298613335
"w","10","C",538.519548588184,535.533112823092,543.25618762593
"w","10","D",285.383885590352,282.990707157557,288.156938973068
"w","2","C",1.90129900253121,1.75634087795936,2.11164398801388
"w","2","D",0.0703114858873145,0.0400264727647266,0.104183053962723
"w","3","C",44.9476695559141,42.5911592215452,47.5886898119277
"w","3","D",3.37924326144813,1.93603891595929,4.96435173142115
"w","4","C",252.476022689583,246.708721844175,258.633794273067
"w","4","D",26.5086680392094,22.699302050314,30.6923820497104
"w","5","C",420.840063961285,411.786071346762,430.613289822032
"w","5","D",53.4272119350639,46.0703934239796,61.4877724590517
"w","6","C",419.521896034622,410.6359247304,429.114591030539
"w","6","D",70.9063220927771,61.4064347363059,81.3204310816767
"w","7","C",583.858384614961,575.460060495816,593.927815628281
"w","7","D",140.395975404251,129.263530400866,152.77186811352
"w","8","C",687.447769571859,681.744441195877,698.091526406052
"w","8","D",246.596384096942,242.008853217527,251.977391619465
"w","9","C",564.612492519323,560.266618990004,573.045005576195
"w","9","D",258.26411155272,255.53908803708,261.762565453141
