"sample","dose","age_group","compartment","value"
"1","b","1","C",0.0000000000205636602935854
"1","b","1","D",0.0000000180450430011562
"1","b","10","C",682.852744478525
"1","b","10","D",105.88311914927
"1","b","2","C",0.000161579935315217
"1","b","2","D",0.0000040301081596225
"1","b","3","C",0.0989490614649186
"1","b","3","D",0.00306646075802297
"1","b","4","C",25.7036444012144
"1","b","4","D",0.913571324586334
"1","b","5","C",98.633998203388
"1","b","5","D",4.10520679759867
"1","b","6","C",168.324495897557
"1","b","6","D",9.23187502904419
"1","b","7","C",473.187632141772
"1","b","7","D",34.9970935002705
"1","b","8","C",1214.2846057359
"1","b","8","D",125.979988086971
"1","b","9","C",1181.52262022023
"1","b","9","D",154.181949459986
"1","u","1","C",133.730334945317
"1","u","1","D",8.92898879221134
"1","u","10","C",52.4007051513608
"1","u","10","D",27.5134790219589
"1","u","2","C",114.507729131761
"1","u","2","D",9.15093683702077
"1","u","3","C",39.324415253144
"1","u","3","D",4.12418501660102
"1","u","4","C",230.747409740159
"1","u","4","D",27.3426980734948
"1","u","5","C",476.012291806758
"1","u","5","D",67.7394821529039
"1","u","6","C",379.051882229584
"1","u","6","D",71.9030913986558
"1","u","7","C",415.297390223917
"1","u","7","D",107.07469457282
"1","u","8","C",73.3798913412169
"1","u","8","D",26.6228216860785
"1","u","9","C",72.2068514699837
"1","u","9","D",32.8130307506164
"1","v","1","C",0.0104923903862992
"1","v","1","D",0.000697107623363206
"1","v","10","C",143.177406195125
"1","v","10","D",74.9484494330496
"1","v","2","C",39.0971049106291
"1","v","2","D",3.05852996980279
"1","v","3","C",28.7415617892701
"1","v","3","D",3.00793976032535
"1","v","4","C",141.747943146034
"1","v","4","D",16.7187935190748
"1","v","5","C",199.800869187123
"1","v","5","D",28.2760584444655
"1","v","6","C",159.83403976337
"1","v","6","D",30.1192606610989
"1","v","7","C",200.900443030552
"1","v","7","D",51.3777854169021
"1","v","8","C",166.059195241015
"1","v","8","D",59.8560504717951
"1","v","9","C",115.172599326282
"1","v","9","D",52.1762733005354
"1","w","1","C",0.00494549191211223
"1","w","1","D",0.000214787904888601
"1","w","10","C",573.480628197135
"1","w","10","D",298.557031361304
"1","w","2","C",2.31582973257356
"1","w","2","D",0.0728417112286187
"1","w","3","C",41.4076366630945
"1","w","3","D",2.61014294944554
"1","w","4","C",395.143361178076
"1","w","4","D",36.395743743017
"1","w","5","C",676.182805408541
"1","w","5","D",78.9436808295002
"1","w","6","C",613.704932914306
"1","w","6","D",96.4823565525453
"1","w","7","C",850.194325723706
"1","w","7","D",189.382534442349
"1","w","8","C",812.208687433674
"1","w","8","D",285.544614721899
"1","w","9","C",727.079889720342
"1","w","9","D",327.09246092519
"2","b","1","C",0.0000000000240170615252821
"2","b","1","D",0.0000000112150197638919
"2","b","10","C",731.98846223103
"2","b","10","D",71.2008205074929
"2","b","2","C",0.000177065441401636
"2","b","2","D",0.00000274799075174429
"2","b","3","C",0.108941441030392
"2","b","3","D",0.00211490722890403
"2","b","4","C",27.8626823920038
"2","b","4","D",0.619316078680961
"2","b","5","C",106.678968741256
"2","b","5","D",2.78190250369664
"2","b","6","C",182.335183869543
"2","b","6","D",6.26671132058651
"2","b","7","C",512.991662115829
"2","b","7","D",23.7696154016584
"2","b","8","C",1319.03131394431
"2","b","8","D",85.6939077516778
"2","b","9","C",1279.16470390234
"2","b","9","D",104.568515281164
"2","u","1","C",135.830946643779
"2","u","1","D",9.03699776037429
"2","u","10","C",52.7045671788457
"2","u","10","D",27.5950041332614
"2","u","2","C",116.299671900014
"2","u","2","D",9.26040686561925
"2","u","3","C",40.2341426082204
"2","u","3","D",4.2007419260979
"2","u","4","C",233.316821130626
"2","u","4","D",27.5679166056024
"2","u","5","C",480.639513702006
"2","u","5","D",68.1962667609295
"2","u","6","C",383.086685509529
"2","u","6","D",72.4284453517256
"2","u","7","C",419.918819656492
"2","u","7","D",107.865527128421
"2","u","8","C",74.2850290415741
"2","u","8","D",26.8405673240561
"2","u","9","C",72.933227872128
"2","u","9","D",33.0237713967627
"2","v","1","C",0.0106359500521109
"2","v","1","D",0.000704349467528688
"2","v","10","C",144.000338882636
"2","v","10","D",75.1652371029895
"2","v","2","C",39.7751643452734
"2","v","2","D",3.10441777780364
"2","v","3","C",29.3043222974142
"2","v","3","D",3.05468779927843
"2","v","4","C",143.221108910135
"2","v","4","D",16.8460110514325
"2","v","5","C",201.584317231605
"2","v","5","D",28.4475513202245
"2","v","6","C",161.370513183386
"2","v","6","D",30.3133818800913
"2","v","7","C",202.88060816691
"2","v","7","D",51.7037560054513
"2","v","8","C",167.921297943326
"2","v","8","D",60.2916470319527
"2","v","9","C",116.291248598376
"2","v","9","D",52.4964412782543
"2","w","1","C",0.00512957492265898
"2","w","1","D",0.00027900707733068
"2","w","10","C",577.08899566963
"2","w","10","D",300.485412800923
"2","w","2","C",2.54601954925453
"2","w","2","D",0.105224594070685
"2","w","3","C",43.3550779196089
"2","w","3","D",3.60070113685926
"2","w","4","C",405.210806497662
"2","w","4","D",42.2042761209926
"2","w","5","C",690.284732565869
"2","w","5","D",88.4409343174688
"2","w","6","C",626.387897292406
"2","w","6","D",107.344666043891
"2","w","7","C",865.631604449791
"2","w","7","D",205.356223588876
"2","w","8","C",822.776069581583
"2","w","8","D",291.550042066782
"2","w","9","C",734.799465575718
"2","w","9","D",330.72487497345
"3","b","1","C",0.0000000000230681544753233
"3","b","1","D",0.0000000220469804116979
"3","b","10","C",704.149584069526
"3","b","10","D",133.396079972057
"3","b","2","C",0.000171330898473364
"3","b","2","D",0.00000519180876806616
"3","b","3","C",0.10554946298551
"3","b","3","D",0.00398847292861157
"3","b","4","C",26.8810893591703
"3","b","4","D",1.16493952864329
"3","b","5","C",102.862355262311
"3","b","5","D",5.22469052478416
"3","b","6","C",175.882987649784
"3","b","6","D",11.7701790589439
"3","b","7","C",494.95240888824
"3","b","7","D",44.6482768921343
"3","b","8","C",1273.37843659911
"3","b","8","D",161.043354025859
"3","b","9","C",1233.73600155548
"3","b","9","D",196.355250168444
"3","u","1","C",135.655866127549
"3","u","1","D",9.02557738473585
"3","u","10","C",52.5579901321635
"3","u","10","D",27.535656812752
"3","u","2","C",116.326946269387
"3","u","2","D",9.26403563751455
"3","u","3","C",40.2163214889774
"3","u","3","D",4.19901082356387
"3","u","4","C",232.816253713132
"3","u","4","D",27.5160721092574
"3","u","5","C",479.480108562203
"3","u","5","D",68.0515196775743
"3","u","6","C",382.232137704125
"3","u","6","D",72.285703966228
"3","u","7","C",419.027376910829
"3","u","7","D",107.664247245817
"3","u","8","C",74.1486271355773
"3","u","8","D",26.7965275452953
"3","u","9","C",72.7705101753639
"3","u","9","D",32.960031152688
"3","v","1","C",0.0106186897566238
"3","v","1","D",0.00070326129389689
"3","v","10","C",143.603571778172
"3","v","10","D",75.0063118315029
"3","v","2","C",39.6602600749089
"3","v","2","D",3.09519011466705
"3","v","3","C",29.2811837682849
"3","v","3","D",3.05234888782791
"3","v","4","C",142.894099742723
"3","v","4","D",16.8127907719622
"3","v","5","C",201.067129097546
"3","v","5","D",28.3843790385272
"3","v","6","C",160.977496833161
"3","v","6","D",30.249518093489
"3","v","7","C",202.398115190974
"3","v","7","D",51.598472207573
"3","v","8","C",167.575699047887
"3","v","8","D",60.1835097853948
"3","v","9","C",116.023132558995
"3","v","9","D",52.3928273670778
"3","w","1","C",0.00501712923470343
"3","w","1","D",0.000215912856246672
"3","w","10","C",575.277996989221
"3","w","10","D",298.800464951156
"3","w","2","C",2.48228219067032
"3","w","2","D",0.0768779298079038
"3","w","3","C",42.3128292779927
"3","w","3","D",2.63726354930016
"3","w","4","C",399.062532231881
"3","w","4","D",36.5418453770799
"3","w","5","C",681.405915660409
"3","w","5","D",79.1434370504204
"3","w","6","C",618.76789392872
"3","w","6","D",96.764780835597
"3","w","7","C",857.047770629728
"3","w","7","D",189.960294905187
"3","w","8","C",819.887227621066
"3","w","8","D",287.095430479132
"3","w","9","C",732.761853356781
"3","w","9","D",328.526138286405
"4","b","1","C",0.0000000000197095687582939
"4","b","1","D",0.0000000190213541046029
"4","b","10","C",599.624614512045
"4","b","10","D",95.3552901441561
"4","b","2","C",0.000148903088989718
"4","b","2","D",0.00000383402572210761
"4","b","3","C",0.0920308346493551
"4","b","3","D",0.00291637458953778
"4","b","4","C",23.1700123033803
"4","b","4","D",0.847007951459222
"4","b","5","C",88.5283188936558
"4","b","5","D",3.77637053376191
"4","b","6","C",151.572924350321
"4","b","6","D",8.50631334176238
"4","b","7","C",426.888911192197
"4","b","7","D",32.2743123284657
"4","b","8","C",1099.87505601
"4","b","8","D",116.56010990293
"4","b","9","C",1061.58642046181
"4","b","9","D",141.645006287296
"4","u","1","C",135.209058570467
"4","u","1","D",9.01408205359949
"4","u","10","C",52.5101782792718
"4","u","10","D",27.5797448235265
"4","u","2","C",116.301077955986
"4","u","2","D",9.28206204806126
"4","u","3","C",40.0042371388674
"4","u","3","D",4.18652986228533
"4","u","4","C",232.46812523467
"4","u","4","D",27.5325907774882
"4","u","5","C",478.725141263389
"4","u","5","D",68.0860660553357
"4","u","6","C",381.482926945212
"4","u","6","D",72.3067498779761
"4","u","7","C",418.088945514364
"4","u","7","D",107.688251002318
"4","u","8","C",73.9465535452316
"4","u","8","D",26.7939176882181
"4","u","9","C",72.6164310155817
"4","u","9","D",32.9737509549553
"4","v","1","C",0.0105912574089207
"4","v","1","D",0.000702841724681888
"4","v","10","C",143.470648349323
"4","v","10","D",75.1276085023508
"4","v","2","C",39.4092732736978
"4","v","2","D",3.07957257159772
"4","v","3","C",29.1588659909711
"4","v","3","D",3.04637133403561
"4","v","4","C",142.725566408594
"4","v","4","D",16.8280915717551
"4","v","5","C",200.80811561635
"4","v","5","D",28.4068523583085
"4","v","6","C",160.720528741718
"4","v","6","D",30.2690001285856
"4","v","7","C",202.032817511316
"4","v","7","D",51.6313641762668
"4","v","8","C",167.182168954184
"4","v","8","D",60.1989118062516
"4","v","9","C",115.790126038064
"4","v","9","D",52.4204346457188
"4","w","1","C",0.00489135196305651
"4","w","1","D",0.000228132741841998
"4","w","10","C",574.491173768482
"4","w","10","D",299.482731476452
"4","w","2","C",2.33319695799162
"4","w","2","D",0.0796816573069843
"4","w","3","C",41.0380340527925
"4","w","3","D",2.82095395334768
"4","w","4","C",392.881951645744
"4","w","4","D",37.6738786038926
"4","w","5","C",672.762798521479
"4","w","5","D",80.9995871695257
"4","w","6","C",611.183968044981
"4","w","6","D",98.8728315614141
"4","w","7","C",848.524612570623
"4","w","7","D",193.05304560277
"4","w","8","C",816.609697042757
"4","w","8","D",287.933844707581
"4","w","9","C",730.802168057869
"4","w","9","D",328.975955161694
"5","b","1","C",0.0000000000203861592216767
"5","b","1","D",0.0000000178470470706962
"5","b","10","C",660.415940833333
"5","b","10","D",100.707274099324
"5","b","2","C",0.000163532882545427
"5","b","2","D",0.00000400138787358521
"5","b","3","C",0.100981439623854
"5","b","3","D",0.00306936427893418
"5","b","4","C",25.4908235023225
"5","b","4","D",0.889985999789863
"5","b","5","C",97.4313006697954
"5","b","5","D",3.98085966446175
"5","b","6","C",166.784270967618
"5","b","6","D",8.97321836699605
"5","b","7","C",469.692010953842
"5","b","7","D",34.0528664858413
"5","b","8","C",1209.78012465266
"5","b","8","D",122.954586737781
"5","b","9","C",1168.0905097579
"5","b","9","D",149.466114384459
"5","u","1","C",134.196035367707
"5","u","1","D",8.95192023093633
"5","u","10","C",52.2676616194031
"5","u","10","D",27.4288542782753
"5","u","2","C",115.107375995022
"5","u","2","D",9.19222676719644
"5","u","3","C",39.5846108176841
"5","u","3","D",4.14733139151227
"5","u","4","C",231.203997761938
"5","u","4","D",27.3797980221387
"5","u","5","C",476.287233427943
"5","u","5","D",67.7237156049527
"5","u","6","C",379.409463797701
"5","u","6","D",71.9053156181655
"5","u","7","C",415.726481254912
"5","u","7","D",107.072443939118
"5","u","8","C",73.4916087220401
"5","u","8","D",26.6326994558101
"5","u","9","C",72.2357671564673
"5","u","9","D",32.7941892340828
"5","v","1","C",0.0105214687497841
"5","v","1","D",0.000698460823496208
"5","v","10","C",142.795384064325
"5","v","10","D",74.7092506858394
"5","v","2","C",39.2296970236326
"5","v","2","D",3.06717545833744
"5","v","3","C",28.9007188918814
"5","v","3","D",3.02203976892145
"5","v","4","C",141.984816112751
"5","v","4","D",16.7370562199311
"5","v","5","C",199.833241372406
"5","v","5","D",28.2589998998759
"5","v","6","C",159.903771608715
"5","v","6","D",30.1066806647672
"5","v","7","C",200.98483109584
"5","v","7","D",51.3489465722806
"5","v","8","C",166.227908582342
"5","v","8","D",59.8516902283399
"5","v","9","C",115.195595566465
"5","v","9","D",52.1372027261051
"5","w","1","C",0.00508890937103295
"5","w","1","D",0.000281687132440616
"5","w","10","C",572.264663534206
"5","w","10","D",298.734998593793
"5","w","2","C",2.42365289470887
"5","w","2","D",0.102454430463549
"5","w","3","C",42.8973292150367
"5","w","3","D",3.63879992827887
"5","w","4","C",402.37440354541
"5","w","4","D",42.3725919199828
"5","w","5","C",685.173930617257
"5","w","5","D",88.5739269206709
"5","w","6","C",621.507224791142
"5","w","6","D",107.438115108952
"5","w","7","C",858.487131582171
"5","w","7","D",205.155069985703
"5","w","8","C",814.566511048985
"5","w","8","D",289.714880052749
"5","w","9","C",727.806681501221
"5","w","9","D",328.544040741119
"6","b","1","C",0.0000000000238878575802069
"6","b","1","D",0.00000000748476750883596
"6","b","10","C",776.773543969959
"6","b","10","D",50.8003316684328
"6","b","2","C",0.000187199699522299
"6","b","2","D",0.0000019450515527324
"6","b","3","C",0.115037744958012
"6","b","3","D",0.0015016786652766
"6","b","4","C",29.5287664896738
"6","b","4","D",0.440382469260306
"6","b","5","C",113.11898820148
"6","b","5","D",1.98188263947497
"6","b","6","C",193.287281655294
"6","b","6","D",4.46551761491768
"6","b","7","C",543.739608386563
"6","b","7","D",16.939784982492
"6","b","8","C",1397.44107463654
"6","b","8","D",61.0517850585316
"6","b","9","C",1355.69257268494
"6","b","9","D",74.524340041948
"6","u","1","C",134.216972548786
"6","u","1","D",8.94585434574785
"6","u","10","C",52.3215732043097
"6","u","10","D",27.4162364411481
"6","u","2","C",114.785041325874
"6","u","2","D",9.15734717553299
"6","u","3","C",39.5791574695122
"6","u","3","D",4.14298654084035
"6","u","4","C",231.195336574861
"6","u","4","D",27.3488195088296
"6","u","5","C",476.539383977504
"6","u","5","D",67.688634966546
"6","u","6","C",379.624245575171
"6","u","6","D",71.8672011645101
"6","u","7","C",415.996561699288
"6","u","7","D",107.016773077111
"6","u","8","C",73.5381688438716
"6","u","8","D",26.6176943903067
"6","u","9","C",72.2893310020646
"6","u","9","D",32.7775744570174
"6","v","1","C",0.0105227461502564
"6","v","1","D",0.000697932905529227
"6","v","10","C",142.946899169517
"6","v","10","D",74.6752446253558
"6","v","2","C",39.3322412227912
"6","v","2","D",3.07364411996119
"6","v","3","C",28.8947076116456
"6","v","3","D",3.01858170906466
"6","v","4","C",141.974610153035
"6","v","4","D",16.7170255405822
"6","v","5","C",199.942734891762
"6","v","5","D",28.2438363666979
"6","v","6","C",159.998085163344
"6","v","6","D",30.09012157993
"6","v","7","C",201.122613103502
"6","v","7","D",51.3214521575546
"6","v","8","C",166.337292169168
"6","v","8","D",59.8170002835872
"6","v","9","C",115.28346406932
"6","v","9","D",52.1107527211101
"6","w","1","C",0.0049211310001844
"6","w","1","D",0.000278660882740141
"6","w","10","C",572.508268704872
"6","w","10","D",298.551718260978
"6","w","2","C",2.36612389251374
"6","w","2","D",0.102776969133999
"6","w","3","C",41.2587949082607
"6","w","3","D",3.59168660493142
"6","w","4","C",393.845021706098
"6","w","4","D",42.0705143559327
"6","w","5","C",674.005251761037
"6","w","5","D",88.1178275608771
"6","w","6","C",612.01942178783
"6","w","6","D",106.914275553145
"6","w","7","C",848.586029419839
"6","w","7","D",204.373531361525
"6","w","8","C",813.142369994264
"6","w","8","D",289.37121563644
"6","w","9","C",727.734185305478
"6","w","9","D",328.30805942192
"7","b","1","C",0.0000000000206077497813939
"7","b","1","D",0.0000000191186196278176
"7","b","10","C",669.657788766056
"7","b","10","D",109.416468141465
"7","b","2","C",0.000163705861579849
"7","b","2","D",0.00000429381796658664
"7","b","3","C",0.100851513971037
"7","b","3","D",0.00328688156965773
"7","b","4","C",25.663818153712
"7","b","4","D",0.960287499663281
"7","b","5","C",98.2017603514857
"7","b","5","D",4.30122643008212
"7","b","6","C",167.958048356056
"7","b","6","D",9.68921728570201
"7","b","7","C",472.759444739763
"7","b","7","D",36.759364724374
"7","b","8","C",1216.44205762807
"7","b","8","D",132.615820085889
"7","b","9","C",1177.11301000641
"7","b","9","D",161.521007144669
"7","u","1","C",134.133627147997
"7","u","1","D",8.94913020501954
"7","u","10","C",52.3132585300711
"7","u","10","D",27.4573801598495
"7","u","2","C",115.019962846649
"7","u","2","D",9.18623858629241
"7","u","3","C",39.5440282551032
"7","u","3","D",4.14363711989418
"7","u","4","C",231.134221136156
"7","u","4","D",27.37525711812
"7","u","5","C",476.314784853738
"7","u","5","D",67.741012782252
