"sample","dose","age_group","compartment","value"
"1","b","1","C",0.000719613515909649
"1","b","1","D",0.0000149563254867409
"1","b","10","C",4798.33856824276
"1","b","10","D",791.247442119892
"1","b","2","C",0.00417702441139769
"1","b","2","D",0.00010356561998307
"1","b","3","C",1.06871726214441
"1","b","3","D",0.0342707031553647
"1","b","4","C",162.124749001038
"1","b","4","D",6.20632508025525
"1","b","5","C",606.422355805171
"1","b","5","D",26.8254450666429
"1","b","6","C",862.945041244257
"1","b","6","D",50.2567876363824
"1","b","7","C",2874.55736504465
"1","b","7","D",226.685925003983
"1","b","8","C",8106.78162783803
"1","b","8","D",892.707923495673
"1","b","9","C",8498.7844629348
"1","b","9","D",1180.98013023977
"1","u","1","C",828.498732982265
"1","u","1","D",56.8510456266687
"1","u","10","C",1304.34547016295
"1","u","10","D",724.783902795012
"1","u","2","C",737.574825731607
"1","u","2","D",60.037373430693
"1","u","3","C",231.634369599715
"1","u","3","D",24.7679361243592
"1","u","4","C",1315.34421937397
"1","u","4","D",162.375312625941
"1","u","5","C",2646.02082041964
"1","u","5","D",393.940840166243
"1","u","6","C",2694.30484496988
"1","u","6","D",534.534744346909
"1","u","7","C",2751.82425361621
"1","u","7","D",744.201203493992
"1","u","8","C",587.059356071545
"1","u","8","D",222.323046923212
"1","u","9","C",703.665632036704
"1","u","9","D",335.558292132982
"1","v","1","C",0.036663551256589
"1","v","1","D",0.00251450498868105
"1","v","10","C",1403.52683769968
"1","v","10","D",777.81946304012
"1","v","2","C",215.376627734428
"1","v","2","D",17.0809871710109
"1","v","3","C",187.727619833871
"1","v","3","D",20.0965861583822
"1","v","4","C",1135.16926933252
"1","v","4","D",139.702963197763
"1","v","5","C",1679.66595844585
"1","v","5","D",249.030686138276
"1","v","6","C",1455.15352910732
"1","v","6","D",287.20919543632
"1","v","7","C",1860.24000320032
"1","v","7","D",500.166056197256
"1","v","8","C",1862.43429836263
"1","v","8","D",701.45533921432
"1","v","9","C",1178.57286662361
"1","v","9","D",561.318792777704
"1","w","1","C",0.0170648717863536
"1","w","1","D",0.00083573836797033
"1","w","10","C",4925.53141975643
"1","w","10","D",2724.96751315029
"1","w","2","C",7.47292357082555
"1","w","2","D",0.230377593383157
"1","w","3","C",226.34450001505
"1","w","3","D",14.6088023286907
"1","w","4","C",2549.62392141752
"1","w","4","D",253.456724994805
"1","w","5","C",4557.21497197461
"1","w","5","D",543.168475878688
"1","w","6","C",4289.45389410991
"1","w","6","D",696.182030428575
"1","w","7","C",6794.59501796014
"1","w","7","D",1553.43386246405
"1","w","8","C",7204.23847211129
"1","w","8","D",2687.91095614957
"1","w","9","C",6715.3523610564
"1","w","9","D",3190.29191388088
"2","b","1","C",0.000792728917835016
"2","b","1","D",0.0000103157384370948
"2","b","10","C",5170.76381540186
"2","b","10","D",534.803675215948
"2","b","2","C",0.0046207931141436
"2","b","2","D",0.0000715844770042296
"2","b","3","C",1.18741511798528
"2","b","3","D",0.0238761757423933
"2","b","4","C",177.185730152036
"2","b","4","D",4.23411666834783
"2","b","5","C",661.61530263817
"2","b","5","D",18.3358065927488
"2","b","6","C",941.768589409073
"2","b","6","D",34.3794000697068
"2","b","7","C",3138.20894713364
"2","b","7","D",155.102100033362
"2","b","8","C",8842.0401480103
"2","b","8","D",610.059267236896
"2","b","9","C",9252.11459353589
"2","b","9","D",805.60576028569
"2","u","1","C",847.946719011219
"2","u","1","D",57.9693297791691
"2","u","10","C",1316.59075513984
"2","u","10","D",729.48303246946
"2","u","2","C",752.512718374535
"2","u","2","D",61.0345112493862
"2","u","3","C",239.133920449216
"2","u","3","D",25.4470654836413
"2","u","4","C",1337.21833690299
"2","u","4","D",164.581038908142
"2","u","5","C",2686.75142461508
"2","u","5","D",398.795865057586
"2","u","6","C",2736.29805111799
"2","u","6","D",541.076856999758
"2","u","7","C",2795.33805722347
"2","u","7","D",753.204374413393
"2","u","8","C",595.832880055586
"2","u","8","D",224.798377242704
"2","u","9","C",713.124492480402
"2","u","9","D",338.89050972191
"2","v","1","C",0.0374354766143142
"2","v","1","D",0.00255859118669491
"2","v","10","C",1416.75036791869
"2","v","10","D",782.852576977393
"2","v","2","C",222.217872713641
"2","v","2","D",17.5715601948238
"2","v","3","C",192.989731036292
"2","v","3","D",20.5699034795583
"2","v","4","C",1152.54409949237
"2","v","4","D",141.44043122091
"2","v","5","C",1702.83844719175
"2","v","5","D",251.753669794332
"2","v","6","C",1475.14789549954
"2","v","6","D",290.268909603389
"2","v","7","C",1885.98716637543
"2","v","7","D",505.382104692707
"2","v","8","C",1887.64700657479
"2","v","8","D",708.435499593139
"2","v","9","C",1194.14770835679
"2","v","9","D",566.783564923445
"2","w","1","C",0.017753754372624
"2","w","1","D",0.00103507380620073
"2","w","10","C",4973.28846171704
"2","w","10","D",2746.69265949869
"2","w","2","C",8.64903528356696
"2","w","2","D",0.349253981386183
"2","w","3","C",238.88363336074
"2","w","3","D",20.3105579022764
"2","w","4","C",2622.98427225231
"2","w","4","D",289.776767885416
"2","w","5","C",4682.40467045845
"2","w","5","D",621.737685801565
"2","w","6","C",4400.551489405
"2","w","6","D",785.574298873471
"2","w","7","C",6957.44301415502
"2","w","7","D",1718.01085363006
"2","w","8","C",7307.4088203576
"2","w","8","D",2728.73545283264
"2","w","9","C",6807.27416084282
"2","w","9","D",3227.42492546733
"3","b","1","C",0.000767871491425051
"3","b","1","D",0.0000194585566086773
"3","b","10","C",4976.0439725703
"3","b","10","D",1001.94720411366
"3","b","2","C",0.00448076252583017
"3","b","2","D",0.000135277440159379
"3","b","3","C",1.15280737759621
"3","b","3","D",0.0451124933869098
"3","b","4","C",171.21045913773
"3","b","4","D",7.98057498600982
"3","b","5","C",639.018625913466
"3","b","5","D",34.4866492487743
"3","b","6","C",909.669298128671
"3","b","6","D",64.6410103178493
"3","b","7","C",3031.56604248262
"3","b","7","D",291.609712975457
"3","b","8","C",8539.10522182475
"3","b","8","D",1146.65171493808
"3","b","9","C",8930.03249908791
"3","b","9","D",1513.40026646579
"3","u","1","C",847.462507777531
"3","u","1","D",57.9321675365864
"3","u","10","C",1313.03020989058
"3","u","10","D",727.663101815566
"3","u","2","C",752.765015000994
"3","u","2","D",61.0610634951411
"3","u","3","C",239.132655323912
"3","u","3","D",25.4474517276964
"3","u","4","C",1335.20124657521
"3","u","4","D",164.334409540924
"3","u","5","C",2682.21993058927
"3","u","5","D",398.117774832654
