"sample","dose","age_group","compartment","value"
"1","b","1","C",0.00000000000327317752621103
"1","b","1","D",0.0000000138023004022476
"1","b","10","C",187.77543101935
"1","b","10","D",23.8851884708992
"1","b","2","C",0.0000631713156238887
"1","b","2","D",0.0000012188515765475
"1","b","3","C",0.0363784272282582
"1","b","3","D",0.000931171644327253
"1","b","4","C",8.75359570517934
"1","b","4","D",0.262726606798033
"1","b","5","C",32.3589603828941
"1","b","5","D",1.11663124477709
"1","b","6","C",60.993617598384
"1","b","6","D",2.72112051390182
"1","b","7","C",168.671702714257
"1","b","7","D",9.98188267668941
"1","b","8","C",449.085136971412
"1","b","8","D",36.6635188433815
"1","b","9","C",401.316126507685
"1","b","9","D",41.6489595381299
"1","u","1","C",72.6880003668006
"1","u","1","D",3.97237557255622
"1","u","10","C",74.4654949936957
"1","u","10","D",31.6314936422518
"1","u","2","C",120.666339734425
"1","u","2","D",7.88170081439218
"1","u","3","C",21.6247458263627
"1","u","3","D",1.93393191632226
"1","u","4","C",69.1023564024673
"1","u","4","D",6.73627399350755
"1","u","5","C",206.979245882033
"1","u","5","D",23.9407591258063
"1","u","6","C",111.064511366818
"1","u","6","D",16.8490007428373
"1","u","7","C",57.7601400727445
"1","u","7","D",11.6943372768239
"1","u","8","C",36.0208763633134
"1","u","8","D",10.0464605964606
"1","u","9","C",28.9169939959701
"1","u","9","D",10.2386327792853
"1","v","1","C",0.00430244099607523
"1","v","1","D",0.000233628230913232
"1","v","10","C",50.3629407763776
"1","v","10","D",21.3730306507029
"1","v","2","C",7.54517585254761
"1","v","2","D",0.492787715515077
"1","v","3","C",16.9715239150359
"1","v","3","D",1.493278346251
"1","v","4","C",76.3165523161142
"1","v","4","D",7.41251794041082
"1","v","5","C",89.4774766666051
"1","v","5","D",10.3096195708128
"1","v","6","C",73.8108359400284
"1","v","6","D",11.1394655772635
"1","v","7","C",93.4938216504334
"1","v","7","D",18.8014262992941
"1","v","8","C",88.6861696152844
"1","v","8","D",24.6248951637121
"1","v","9","C",64.1357229902208
"1","v","9","D",22.6725243977021
"1","w","1","C",0.00049027088378132
"1","w","1","D",0.0000225722180008336
"1","w","10","C",151.760440987884
"1","w","10","D",64.1219638205654
"1","w","2","C",0.0125919574256275
"1","w","2","D",0.000496666624571076
"1","w","3","C",28.624862098531
"1","w","3","D",1.51121405333888
"1","w","4","C",161.665744426447
"1","w","4","D",12.3997424620686
"1","w","5","C",242.049102070258
"1","w","5","D",22.8700600384612
"1","w","6","C",227.899940705714
"1","w","6","D",28.1282913344145
"1","w","7","C",304.744292370336
"1","w","7","D",54.1998370117172
"1","w","8","C",311.087685163846
"1","w","8","D",84.9299909505873
"1","w","9","C",254.913114785306
"1","w","9","D",89.4826730293622
"2","b","1","C",0.0000000000037609244097539
"2","b","1","D",0.00000000856112556122535
"2","b","10","C",197.468433134161
"2","b","10","D",15.7826517263505
"2","b","2","C",0.0000672343494997055
"2","b","2","D",0.000000812248776880909
