"dose","age_group","compartment","mean","q025","q975"
"b","1","C",0.000469757349414579,0.000389277227025538,0.000559411618138463
"b","1","D",0.0000108046732718781,0.00000440595940087871,0.0000200072038570251
"b","10","C",1175.43607819701,979.896771244799,1384.40190817125
"b","10","D",214.118612858716,88.3309425111215,395.047939409345
"b","2","C",0.000861414395971673,0.000711263385449053,0.00102950057742095
"b","2","D",0.0000242465196243718,0.00000984024630950436,0.0000448990321644502
"b","3","C",0.281272974774306,0.231795886396406,0.337364925430845
"b","3","D",0.00999920011892342,0.00407600525305077,0.0184163122230708
"b","4","C",41.058270984854,34.113660452606,48.6736015170618
"b","4","D",1.90083377607828,0.78654517445395,3.48420766679076
"b","5","C",145.109427110282,120.563595883963,171.726758605717
"b","5","D",7.30086110971235,2.98472108028924,13.4090787686748
"b","6","C",235.87826622507,195.997373413489,279.310908612561
"b","6","D",15.3245968782942,6.27189859019823,28.2205233313091
"b","7","C",776.439810754086,645.158959409963,919.26284975603
"b","7","D",67.4593577530882,27.6494848855689,124.375047362064
"b","8","C",2067.85525701193,1718.08033887622,2448.15403779552
"b","8","D",250.624942259685,102.775551498479,461.812779433634
"b","9","C",2381.23084108633,1978.32342703629,2817.18663285014
"b","9","D",365.29515988101,149.899940435579,672.697658862188
"u","1","C",280.208487917804,276.803839623859,287.659659126687
"u","1","D",19.3215979262777,19.1256603399015,19.7522611977696
"u","10","C",1499.3683576245,1488.8816935411,1515.60322592966
"u","10","D",834.356050253799,828.599142330604,841.782238248754
"u","2","C",42.833652852576,42.0900847905012,43.592136811882
"u","2","D",4.14673930756727,4.07141499550123,4.22444690678458
"u","3","C",56.4107966708591,55.3365006128725,58.8655724603887
"u","3","D",6.12786807328057,6.02966864361076,6.34628438955437
"u","4","C",88.7074326131542,87.9274074331118,90.3281901665598
"u","4","D",11.0479443567774,10.9653094379527,11.2012121264428
"u","5","C",438.249290876401,434.75810417443,445.210647962501
"u","5","D",65.4703476547856,65.0127903535685,66.2457711935752
"u","6","C",969.635064224511,961.557718708026,985.58931510207
"u","6","D",193.097409738748,191.706219712876,195.493756289788
"u","7","C",792.62556874029,786.037775348296,805.620270817515
"u","7","D",214.864704216234,213.3231223401,217.44888565515
"u","8","C",182.392128237394,180.87561851226,185.391577545885
"u","8","D",69.2266458862721,68.7329333267853,70.0439541661431
"u","9","C",478.528537184376,474.661453387149,485.964931041187
"u","9","D",228.63655306654,227.042855092209,231.224283765475
"v","1","C",0.0217904623842416,0.0215578380082726,0.0223050607565385
"v","1","D",0.00149844425631441,0.00148513121195616,0.0015278306134269
"v","10","C",300.514730720553,298.382798327931,303.792861130143
"v","10","D",166.909908154846,165.741049806685,168.400108431282
"v","2","C",149.438744897697,147.94274836169,152.504947064113
"v","2","D",12.0976629012375,11.9820401144426,12.3384598341195
"v","3","C",61.8906454358671,60.8948483173456,64.1023181017085
"v","3","D",6.71110959000813,6.62100123521928,6.91004307369852
"v","4","C",385.146240006585,382.012234966373,391.490132063005
"v","4","D",47.7981468227288,47.4587850778106,48.4179813325646
"v","5","C",536.765059942546,532.759624726103,544.253414714482
"v","5","D",79.83203104814,79.2981102054305,80.7085780873159
"v","6","C",361.875635789128,359.089123354427,367.184174053385
"v","6","D",71.6924301076483,71.2042195612047,72.490039256909
"v","7","C",428.971343971405,425.701305080659,435.150490408177
"v","7","D",115.551337656679,114.77097428692,116.785411989775
"v","8","C",406.867242001837,403.735258772409,412.747648806327
"v","8","D",153.447384542262,152.407051602094,155.090293527824
"v","9","C",277.266792276835,275.06159502645,281.382219344652
"v","9","D",132.253802813705,131.338225591018,133.712617340456
"w","1","C",0.00796901609752892,0.007692554757297,0.00827131293260036
"w","1","D",0.000449315362463121,0.000344663416774104,0.000564906430932976
"w","10","C",1196.94540303659,1188.680635962,1210.05819615904
"w","10","D",662.28721347939,656.752753101098,668.720916642625
"w","2","C",12.283798609413,11.1233739987696,14.2779223612334
"w","2","D",0.469476651641336,0.265709896414969,0.702552097269572
"w","3","C",74.0586734077741,70.0082022101191,78.5633121647963
"w","3","D",5.74650690768178,3.28998177915638,8.43245235502883
"w","4","C",922.613572055787,896.719892267654,950.892218049402
"w","4","D",97.4516934741775,79.4017133890093,117.320478896282
"w","5","C",1699.12739122028,1655.18549413657,1746.77339603177
"w","5","D",216.837184437507,178.866472940833,258.422431437604
"w","6","C",1510.01992324711,1473.32985083306,1549.90697331502
"w","6","D",260.351332420728,219.396620329346,305.286291090554
"w","7","C",2459.79102802918,2406.15544920349,2518.11800104244
"w","7","D",586.831418735194,507.443732937552,674.251216609411
"w","8","C",2424.41299879686,2402.66489019733,2457.90473738982
"w","8","D",889.520934634526,863.518368787026,919.152977747274
"w","9","C",1915.42350670089,1899.97827240109,1944.73616053207
"w","9","D",908.836379294294,900.091985679486,920.880947326293
