"sample","dose","age_group","compartment","value"
"1","b","1","C",4.12553937326967e-17
"1","b","1","D",0.0000000000000668658425181248
"1","b","10","C",62.5815602424916
"1","b","10","D",8.85123417678479
"1","b","2","C",0.000108848171875692
"1","b","2","D",0.00000226833529538293
"1","b","3","C",0.0302887309130256
"1","b","3","D",0.000848925335963372
"1","b","4","C",3.36676853556158
"1","b","4","D",0.107137706859904
"1","b","5","C",13.2577053742526
"1","b","5","D",0.503154014062595
"1","b","6","C",21.9488065044061
"1","b","6","D",1.09748894469148
"1","b","7","C",51.3134879031022
"1","b","7","D",3.48520652979809
"1","b","8","C",134.453433201579
"1","b","8","D",12.7631500378338
"1","b","9","C",118.317207117381
"1","b","9","D",14.2300495042533
"1","u","1","C",35.8894085497871
"1","u","1","D",2.19701925543881
"1","u","10","C",7.76988385747466
"1","u","10","D",3.79537037563864
"1","u","2","C",1.23733933459467
"1","u","2","D",0.121024447556329
"1","u","3","C",15.3735855952882
"1","u","3","D",1.51019618627688
"1","u","4","C",73.5799535326264
"1","u","4","D",7.98073896710051
"1","u","5","C",104.936697163646
"1","u","5","D",13.8010126451411
"1","u","6","C",55.0921535336462
"1","u","6","D",9.66243506853785
"1","u","7","C",52.9710192812559
"1","u","7","D",12.8070570026552
"1","u","8","C",12.3521170689268
"1","u","8","D",4.19785069853425
"1","u","9","C",9.99167870304724
"1","u","9","D",4.29918337344144
"1","v","1","C",0.00303729776691658
"1","v","1","D",0.000184827227167611
"1","v","10","C",46.1319368524391
"1","v","10","D",22.4063980598246
"1","v","2","C",17.1024736963401
"1","v","2","D",1.35795352805985
"1","v","3","C",7.46450257801373
"1","v","3","D",0.72369050878775
"1","v","4","C",41.9569792643367
"1","v","4","D",4.5093182680997
"1","v","5","C",59.4540234096896
"1","v","5","D",7.74113023006887
"1","v","6","C",53.2619734778022
"1","v","6","D",9.23286903697577
"1","v","7","C",66.4937221983581
"1","v","7","D",15.8645716119239
"1","v","8","C",62.0689404419146
"1","v","8","D",20.8738391784885
"1","v","9","C",42.8745416616942
"1","v","9","D",18.2603663253631
"1","w","1","C",4.57539682593288e-16
"1","w","1","D",0.000000000000792813530168104
"1","w","10","C",143.881333254745
"1","w","10","D",69.0177311748502
"1","w","2","C",7.13693866574923
"1","w","2","D",0.227196554907213
"1","w","3","C",10.5209489331344
"1","w","3","D",0.613130262597086
"1","w","4","C",60.9728849433228
"1","w","4","D",5.00184340710948
"1","w","5","C",111.238353205034
"1","w","5","D",11.8728594118554
"1","w","6","C",110.25185868326
"1","w","6","D",16.7871193917528
"1","w","7","C",164.032728422552
"1","w","7","D",34.5996213854176
"1","w","8","C",225.430906004275
"1","w","8","D",73.9820541595099
"1","w","9","C",160.859079623067
"1","w","9","D",67.2333648903231
"2","b","1","C",4.85563151662186e-17
"2","b","1","D",0.0000000000000405578185664294
"2","b","10","C",66.9881164805179
"2","b","10","D",5.94372856974841
"2","b","2","C",0.000117548150943057
"2","b","2","D",0.00000153478345907527
"2","b","3","C",0.0328682841711583
"2","b","3","D",0.000577006382435198
"2","b","4","C",3.61685744166681
"2","b","4","D",0.0721067685476837
"2","b","5","C",14.2389377679377
"2","b","5","D",0.338777316695664
"2","b","6","C",23.6185797561448
"2","b","6","D",0.740210114663418
"2","b","7","C",55.4537014954598
"2","b","7","D",2.35867430977207
"2","b","8","C",145.608946713796
"2","b","8","D",8.65060638486703
"2","b","9","C",128.097302499698
"2","b","9","D",9.64390664650065
"2","u","1","C",36.1277012217512
"2","u","1","D",2.20571493587149
"2","u","10","C",7.79818220765906
"2","u","10","D",3.79980175531215
"2","u","2","C",1.23022975681273
"2","u","2","D",0.120289488258185
"2","u","3","C",15.5536521222101
"2","u","3","D",1.52252389895758
"2","u","4","C",74.0026661960916
"2","u","4","D",8.00741936683497
"2","u","5","C",105.501975732779
"2","u","5","D",13.8392306344857
"2","u","6","C",55.4458759521774
"2","u","6","D",9.6956372355369
"2","u","7","C",53.4445645524073
"2","u","7","D",12.8726715633329
"2","u","8","C",12.4784684748937
"2","u","8","D",4.22265161362371
"2","u","9","C",10.0907232362398
"2","u","9","D",4.3238657180554
"2","v","1","C",0.00305592291689642
"2","v","1","D",0.000185484026242943
"2","v","10","C",46.2909251186528
"2","v","10","D",22.4287729649106
"2","v","2","C",17.1231194093377
"2","v","2","D",1.35918822308534
"2","v","3","C",7.53685643798413
"2","v","3","D",0.728466129544938
"2","v","4","C",42.1719072397498
"2","v","4","D",4.52211334668591
"2","v","5","C",59.7294106865693
"2","v","5","D",7.75785066653651
"2","v","6","C",53.5530480462788
"2","v","6","D",9.25767646369662
"2","v","7","C",66.9938402947508
"2","v","7","D",15.9288588134077
"2","v","8","C",62.6284225859359
"2","v","8","D",20.9784198954773
"2","v","9","C",43.2523587903671
"2","v","9","D",18.3502864454989
"2","w","1","C",5.53359536427271e-16
"2","w","1","D",0.000000000000825222625959234
"2","w","10","C",144.52999728048
"2","w","10","D",69.596210292662
"2","w","2","C",7.49004580126579
"2","w","2","D",0.314717087751488
"2","w","3","C",10.9135659190621
"2","w","3","D",0.837963278208214
"2","w","4","C",62.2893361096986
"2","w","4","D",5.85321919391344
"2","w","5","C",113.143700700655
"2","w","5","D",13.3047418098332
"2","w","6","C",111.757452802909
"2","w","6","D",18.0653680764422
"2","w","7","C",166.505765848855
"2","w","7","D",37.1178102124748
"2","w","8","C",227.927345178238
"2","w","8","D",75.4235065375368
"2","w","9","C",162.542633596012
"2","w","9","D",68.3161403903087
"3","b","1","C",4.34360870158468e-17
"3","b","1","D",0.0000000000000817743965732305
"3","b","10","C",64.5019335759872
"3","b","10","D",11.1475178961277
"3","b","2","C",0.000113429492321293
"3","b","2","D",0.00000288468918924329
"3","b","3","C",0.0317514020072715
"3","b","3","D",0.00108529701257454
"3","b","4","C",3.4856703670839
"3","b","4","D",0.135441622412574
"3","b","5","C",13.7219594652416
"3","b","5","D",0.63595703249204
"3","b","6","C",22.7709878262044
"3","b","6","D",1.38980660930347
"3","b","7","C",53.5203699737074
"3","b","7","D",4.43199047201726
"3","b","8","C",140.6095368925
"3","b","8","D",16.2619096536955
"3","b","9","C",123.687477868182
"3","b","9","D",18.1271403812845
"3","u","1","C",36.0463915415976
"3","u","1","D",2.20191477911155
"3","u","10","C",7.77913112136664
"3","u","10","D",3.79379019239891
"3","u","2","C",1.23792265466437
"3","u","2","D",0.121048990609522
"3","u","3","C",15.5302462992473
"3","u","3","D",1.5205911132684
"3","u","4","C",73.8294938107918
"3","u","4","D",7.99403573933066
"3","u","5","C",105.24386642096
"3","u","5","D",13.8140958233866
"3","u","6","C",55.3168159442573
"3","u","6","D",9.67865804674777
"3","u","7","C",53.3419058337756
"3","u","7","D",12.852845425533
"3","u","8","C",12.4576443470792
"3","u","8","D",4.2168816687178
"3","u","9","C",10.0736752282311
"3","u","9","D",4.31789646455393
"3","v","1","C",0.00304887295481813
"3","v","1","D",0.000185163525247263
"3","v","10","C",46.1788506300069
"3","v","10","D",22.3943319472902
"3","v","2","C",17.1148480779519
"3","v","2","D",1.35870802130942
"3","v","3","C",7.52305733844484
"3","v","3","D",0.727409257618824
"3","v","4","C",42.0721002768902
"3","v","4","D",4.51471851547402
"3","v","5","C",59.5795686688367
"3","v","5","D",7.74386380126288
"3","v","6","C",53.4221174451629
"3","v","6","D",9.24129052001605
"3","v","7","C",66.8493530916061
"3","v","7","D",15.9026882342286
"3","v","8","C",62.5107918094154
"3","v","8","D",20.9476349592131
"3","v","9","C",43.1708692092312
"3","v","9","D",18.3232981500344
"3","w","1","C",5.34513842198293e-16
"3","w","1","D",0.000000000000783585254454832
"3","w","10","C",144.066590113869
"3","w","10","D",68.9826845250409
"3","w","2","C",7.26983846541917
"3","w","2","D",0.228950351692635
"3","w","3","C",10.6410226444379
"3","w","3","D",0.61395184714391
"3","w","4","C",61.2805224630363
"3","w","4","D",4.99974007075643
"3","w","5","C",111.664274584123
"3","w","5","D",11.8633200720673
"3","w","6","C",110.692979777835
"3","w","6","D",16.7885580495702
"3","w","7","C",165.027973859371
"3","w","7","D",34.6510632774936
"3","w","8","C",227.159464655441
"3","w","8","D",74.2514160332938
"3","w","9","C",162.050423338464
"3","w","9","D",67.4738969449975
"4","b","1","C",3.66510368876357e-17
"4","b","1","D",0.0000000000000658104798753391
"4","b","10","C",55.2293689957012
"4","b","10","D",8.00125520702889
"4","b","2","C",0.0000979355165608716
"4","b","2","D",0.00000208915690667615
"4","b","3","C",0.0275074432998702
"4","b","3","D",0.000787846675711866
"4","b","4","C",2.99564740409078
"4","b","4","D",0.0978773320128925
"4","b","5","C",11.7940363565363
"4","b","5","D",0.458447512042597
"4","b","6","C",19.6022249693626
"4","b","6","D",1.00244427115455
"4","b","7","C",46.2433996595341
"4","b","7","D",3.20524686004157
"4","b","8","C",121.696192752745
"4","b","8","D",11.7772344143969
"4","b","9","C",106.998797818648
"4","b","9","D",13.1211488247149
"4","u","1","C",36.0771025053976
"4","u","1","D",2.2079891197892
"4","u","10","C",7.791750962231
"4","u","10","D",3.80771908811167
"4","u","2","C",1.2586705980827
"4","u","2","D",0.123100192094239
"4","u","3","C",15.5172091236465
"4","u","3","D",1.52270204933137
"4","u","4","C",73.9412804229761
"4","u","4","D",8.02147488796233
"4","u","5","C",105.343304569935
"4","u","5","D",13.8530141077582
"4","u","6","C",55.3419373676221
"4","u","6","D",9.70280072167754
"4","u","7","C",53.3073577460708
"4","u","7","D",12.8740897001248
"4","u","8","C",12.4432420896092
"4","u","8","D",4.22253777380997
"4","u","9","C",10.0629700901987
"4","u","9","D",4.32398867918161
"4","v","1","C",0.00305225225905948
"4","v","1","D",0.000185718074848735
"4","v","10","C",46.2585926264448
"4","v","10","D",22.4789584306073
"4","v","2","C",17.2138212074352
"4","v","2","D",1.36703878727825
"4","v","3","C",7.52355079005766
"4","v","3","D",0.729033872043521
"4","v","4","C",42.1506176216273
"4","v","4","D",4.53170435541255
"4","v","5","C",59.6566220467734
"4","v","5","D",7.7681709085795
"4","v","6","C",53.4691018467858
"4","v","6","D",9.2678960374854
"4","v","7","C",66.8447943133786
