"dose","age_group","compartment","mean","q025","q975"
"b","1","C",5.43166308804381e-15,4.24131362222971e-15,6.83710726953711e-15
"b","1","D",0.00000000000609301859773903,0.00000000000233677323497625,0.0000000000116012918184082
"b","10","C",991.523257969674,827.20642334142,1167.0376432034
"b","10","D",179.106018033567,73.7689061964614,331.182031154821
"b","2","C",0.000151726172495286,0.000125786493585991,0.000180656589678872
"b","2","D",0.00000463108591207746,0.00000191083330979858,0.00000849618482987826
"b","3","C",0.368415739207468,0.304191602170175,0.44074733194027
"b","3","D",0.0129657542936001,0.00528963047301173,0.0240238772908399
"b","4","C",34.2482642877675,28.4487097589159,40.4888851563588
"b","4","D",1.64477756317627,0.681819226901612,3.02598895301637
"b","5","C",119.550347746346,99.3970127488822,141.113515823945
"b","5","D",6.02239014782141,2.47144848134718,11.0650724932153
"b","6","C",205.039219912464,170.384595951551,242.089270908786
"b","6","D",13.238433436485,5.4181889085913,24.4071609495836
"b","7","C",674.892770702711,560.990614791071,797.844760177193
"b","7","D",58.1564163097801,23.8282095941854,107.211964721234
"b","8","C",1809.76286325198,1504.72658083367,2140.89448955728
"b","8","D",218.737581716013,89.5966317713613,403.38022192206
"b","9","C",1863.4706272932,1548.47880185278,2203.47723725037
"b","9","D",284.874752485207,116.773288384149,524.948628757032
"u","1","C",275.265011877201,272.659700655619,280.94074983723
"u","1","D",18.8958228040949,18.7459972116531,19.1956964545537
"u","10","C",90.1290476464655,89.569751449668,90.9805369348385
"u","10","D",49.8432121764067,49.5346503983051,50.2307779339334
"u","2","C",243.187894155019,240.760395937013,247.983518019758
"u","2","D",20.1352716892421,19.9539165004245,20.4594426092885
"u","3","C",75.5478902411354,74.3693124335426,78.1516781159478
"u","3","D",8.23204182612291,8.12574777574443,8.46733838927649
"u","4","C",333.029338085196,330.614652364804,337.814738418601
"u","4","D",41.2551376481088,40.9946683430509,41.7040555453694
"u","5","C",752.967879366929,747.843705778899,762.351513591226
"u","5","D",111.826569050855,111.134096419227,112.912561180111
"u","6","C",766.14876277113,760.812786604847,775.862304816976
"u","6","D",151.483231548907,150.531579838184,152.973873044545
"u","7","C",647.852179450206,642.866692978184,657.345074862155
"u","7","D",174.881350465631,173.726469105668,176.775625628416
"u","8","C",147.307350211374,146.117640334025,149.628620199442
"u","8","D",55.7857215713114,55.4049091823903,56.4103183266443
"u","9","C",117.542547505532,116.626145526932,119.302452353266
"u","9","D",56.0469987734062,55.6750071204861,56.6516595820603
"v","1","C",0.00300348297097045,0.00297901453789913,0.00305213781806626
"v","1","D",0.000205147469741185,0.000203717202090711,0.000207789258784309
"v","10","C",322.358509305039,320.341600500429,325.432288490303
"v","10","D",177.895745446028,176.777489583133,179.285137734906
"v","2","C",72.9800781330268,72.00554614553,74.9591323428729
"v","2","D",5.72623492175627,5.65863441100802,5.8587166065165
"v","3","C",68.5695716645586,67.678893873553,70.517674625639
"v","3","D",7.4399720259119,7.3612013182499,7.6160061356173
"v","4","C",433.991462543826,431.036083539978,439.800857202127
"v","4","D",53.5517430219005,53.2252562299812,54.0936914755751
"v","5","C",629.166124107751,625.109761193666,636.172082134869
"v","5","D",92.9696579142176,92.413555004353,93.7783209809957
"v","6","C",501.152394602701,497.875524203794,506.916336744202
"v","6","D",98.4820034428993,97.8877979512178,99.3299653973758
"v","7","C",524.022021883607,520.375086898329,530.570648411908
"v","7","D",140.417390160329,139.534196405974,141.723596929943
"v","8","C",420.404831262882,417.285863876658,426.274634582505
"v","8","D",158.23930510158,157.212940747598,159.861167393734
"v","9","C",290.743870886268,288.545233059774,294.856354258068
"v","9","D",138.262967071691,137.36730208701,139.715087077157
"w","1","C",0.000563778806338833,0.000540661124977162,0.000588279821181802
"w","1","D",0.0000294792496001291,0.0000199009149354273,0.0000400002684611902
"w","10","C",1408.95408138574,1400.38222791343,1422.29340326726
"w","10","D",775.555718218284,770.068417741576,781.937188714642
"w","2","C",3.04397674697751,2.79332364523116,3.41774712826413
"w","2","D",0.109891291884034,0.062315354514978,0.163210378430987
"w","3","C",64.567870013126,61.1993473893574,68.3333829027314
"w","3","D",5.00942838466886,2.87305971678559,7.35491643587118
"w","4","C",734.145397766058,715.890811451788,753.736349488617
"w","4","D",78.4080845472252,65.4924858637542,92.6151689134655
"w","5","C",1336.61066946347,1304.40829329093,1370.81159209731
"w","5","D",170.827553764012,142.684904381076,201.70614434295
"w","6","C",1352.7111852425,1320.3589531371,1387.19453529928
"w","6","D",229.999826909165,192.364160296581,271.305800591647
"w","7","C",1897.25253269489,1859.9122177304,1937.37584967379
"w","7","D",455.412440555017,400.197764977443,516.417605920294
"w","8","C",2078.7417367287,2062.84180776319,2108.22444275519
"w","8","D",774.139636140936,763.795505432384,786.415227532744
"w","9","C",1753.92208142293,1740.45389511857,1779.78025155901
"w","9","D",831.270260518647,824.25734293273,841.107165110471
