"dose","age_group","compartment","mean","q025","q975"
"b","1","C",0.0000000000207797682739412,0.0000000000173124697144967,0.0000000000256600296524317
"b","1","D",0.0000000201446433577593,0.00000000796922954318157,0.0000000382589006366266
"b","10","C",670.646199114218,560.741238816993,788.17552030643
"b","10","D",114.53686124009,47.1799174310333,210.949870541053
"b","2","C",0.000163029406307195,0.000134935926562807,0.000194349314978589
"b","2","D",0.00000447443200995426,0.00000182426126851302,0.00000826370287062622
"b","3","C",0.100360359898116,0.0829472588657024,0.119993238652286
"b","3","D",0.00341950152140908,0.00139371750441892,0.00634120853585481
"b","4","C",25.6121385989715,21.3107932439293,30.249901856077
"b","4","D",1.00227737102293,0.409501683549903,1.84273130726047
"b","5","C",98.0420750700417,81.568024683653,115.624327499466
"b","5","D",4.49025570830727,1.83871151936619,8.28436781172718
"b","6","C",167.623255753281,139.480431111881,197.837352613679
"b","6","D",10.1110345139771,4.14100005160888,18.6472440638713
"b","7","C",471.709787450267,392.717579660198,556.912765123402
"b","7","D",38.3519227959928,15.7048611078054,70.7352242237925
"b","8","C",1213.25356880018,1009.81556915696,1434.01702063974
"b","8","D",138.311383317489,56.6013569617726,255.058786098154
"b","9","C",1175.26169479881,977.396967565282,1387.13231542693
"b","9","D",168.619262777429,69.1233881967431,310.683116652021
"u","1","C",134.32669044335,132.935709489459,137.390907654153
"u","1","D",8.95736978560979,8.88065348708654,9.11260960407902
"u","10","C",52.3447945022659,51.9639603883863,52.8223117396355
"u","10","D",27.4638553466281,27.2390878075544,27.6847958483323
"u","2","C",115.155660450506,113.797097464914,117.994613595048
"u","2","D",9.19200177508475,9.09566085812846,9.35844086220767
"u","3","C",39.6339704880774,39.0302828661433,40.9641181941937
"u","3","D",4.15030100599582,4.09951190855735,4.26304531282498
"u","4","C",231.301914706601,229.631698641402,234.386432836655
"u","4","D",27.3834758781789,27.2049773594352,27.6506315185414
"u","5","C",476.663263742067,473.219928401641,482.28244227331
"u","5","D",67.7641052049339,67.3123739839266,68.3579350338864
"u","6","C",379.740536643703,376.832125511122,384.744151644243
"u","6","D",71.9512183658682,71.4450906315163,72.640605437184
"u","7","C",416.133837968167,412.792567596208,421.956232443276
"u","7","D",107.15006331919,106.3738427001,108.241440958215
"u","8","C",73.5721488992374,72.9273971339481,74.8588135824441
"u","8","D",26.6533443440947,26.4519541345708,26.9583281327883
"u","9","C",72.3112914234856,71.7590196786444,73.2270652570709
"u","9","D",32.8198696001703,32.5900207865222,33.1120700424715
"v","1","C",0.0105296344493504,0.0104353840975144,0.0107336405204925
"v","1","D",0.000698777226318924,0.000693468358744578,0.000708080263379358
"v","10","C",143.016262546787,141.942852842514,144.334566255778
"v","10","D",74.8092210274264,74.1846075701822,75.4208960523095
"v","2","C",39.2660645136682,38.8604228809587,40.0810857401193
"v","2","D",3.06913622376525,3.04245420647175,3.12318477125174
"v","3","C",28.9271031985519,28.5611869597116,29.7368877248738
"v","3","D",3.02327600087371,2.99250645941192,3.08794176862349
"v","4","C",142.036832497918,141.071630242724,143.691693398909
"v","4","D",16.7386623241645,16.6337419094626,16.8884327276283
"v","5","C",199.988327302718,198.613823390453,202.14812303292
"v","5","D",28.2760750016941,28.0901384098962,28.5074278185913
"v","6","C",160.037442713388,158.879881486049,161.912963178892
"v","6","D",30.1257237452501,29.9237987599617,30.3781294357375
"v","7","C",201.171372453658,199.668175636228,203.623263763273
"v","7","D",51.385677447816,51.0315147995136,51.8275216684978
"v","8","C",166.399636523562,165.051480921103,168.78728221162
"v","8","D",59.8966880007726,59.4587261134571,60.5075048752898
"v","9","C",115.316276519001,114.4521686481,116.731196760673
"v","9","D",52.1786824442486,51.8157127093015,52.6307050409304
"w","1","C",0.00508190373626813,0.00485724471143181,0.0053257570335113
"w","1","D",0.000253174499858343,0.000164013443521083,0.000351029557272855
"w","10","C",573.119560491706,568.946776597225,578.23309545183
"w","10","D",298.650646879932,295.703768815415,301.573565616867
"w","2","C",2.43589126039858,2.2441006084567,2.70694538087019
"w","2","D",0.0907063406347418,0.0516531500224914,0.134048859323222
"w","3","C",42.8307885487643,40.6104964148138,45.3236525048471
"w","3","D",3.20244425963855,1.83837288058863,4.70227064065956
"w","4","C",401.983256129357,390.551279808169,414.09057567607
"w","4","D",39.822517396087,31.8724602864279,48.5553676704779
"w","5","C",684.990296252664,669.06389073868,701.682957250283
"w","5","D",84.461432343214,71.5568028640898,98.7424007374294
"w","6","C",621.409791262299,607.683529844646,635.886543776861
"w","6","D",102.768654067173,88.0886693066239,119.057911951199
"w","7","C",858.624455880871,843.37035106185,875.519516928347
"w","7","D",198.452123658654,177.260001723316,222.324024389985
"w","8","C",815.297479576899,808.25932815766,827.730649420581
"w","8","D",288.134906602204,281.988680610144,295.045603168018
"w","9","C",728.538230004104,723.081581754952,737.817975921108
"w","9","D",328.093003834986,324.84288764776,332.023469461647
