"dose","age_group","compartment","mean","q025","q975"
"b","1","C",0.000632777691942159,0.000523920994005176,0.000754482642843309
"b","1","D",0.000021491169725281,0.00000879105080143206,0.0000394806612880966
"b","10","C",1393.8253021477,1159.39345323759,1643.71379833748
"b","10","D",256.840319905603,106.042630262426,474.667711178852
"b","2","C",0.00171564982058164,0.00141607316536998,0.00205207764999408
"b","2","D",0.0000719216145063135,0.0000293731282145539,0.000132036830324277
"b","3","C",0.112200718027212,0.0924216420371131,0.134596531852393
"b","3","D",0.00429262971120655,0.00173966859941583,0.00791652736676094
"b","4","C",49.2653742685757,40.9098590940637,58.4706246436086
"b","4","D",2.37512621774878,0.984375497187598,4.35335337326764
"b","5","C",196.387244752584,163.100535031901,232.950667417172
"b","5","D",9.9456217235152,4.06256438096841,18.2900242977805
"b","6","C",317.970697863906,264.052219805759,377.587414544703
"b","6","D",20.8421335436174,8.53171866986157,38.4564133055555
"b","7","C",888.044310348748,737.648866422399,1055.6697333231
"b","7","D",78.2952730353526,32.0666603787187,144.395292372181
"b","8","C",2390.59404430045,1983.95075149303,2844.9182505217
"b","8","D",296.293040311507,121.286919200173,546.783755427044
"b","9","C",2290.80766408325,1901.75444452668,2718.32667122932
"b","9","D",357.475596980663,146.637591412895,658.981784593033
"u","1","C",379.663264567799,374.907501435624,390.068147843646
"u","1","D",26.2685198538632,25.9912764887902,26.8774953367119
"u","10","C",149.571822769455,148.568733693194,151.267593270283
"u","10","D",84.0772144967286,83.5790848739313,84.8292790144617
"u","2","C",351.324638670252,347.254378601337,360.431188244918
"u","2","D",29.2496393023777,28.9581934056102,29.8605183748226
"u","3","C",133.436247005716,131.006280841392,139.040965283257
"u","3","D",14.5272428556174,14.302535008015,15.028317553245
"u","4","C",877.919575908818,870.063098836375,894.443942824339
"u","4","D",109.566580244376,108.760614815829,111.207305062454
"u","5","C",1662.52215157903,1648.07372585819,1693.34420639062
"u","5","D",249.93126102051,248.113887591255,253.479078688302
"u","6","C",1434.24662894278,1420.61811466823,1463.88028102441
"u","6","D",287.856181782553,285.615972369163,292.279563130091
"u","7","C",1913.93054342708,1894.25139722317,1957.44300339998
"u","7","D",524.551809995443,520.20626604365,533.749872507897
"u","8","C",913.566370852857,903.473294144065,935.853199929058
"u","8","D",351.739830074426,348.654870354169,358.497032650309
"u","9","C",739.106829663634,732.467003621856,753.059951177341
"u","9","D",357.091794580138,354.507207252983,361.943784095403
"v","1","C",0.0753944935814274,0.074530112678531,0.0772910239307201
"v","1","D",0.00520739316126115,0.00515722518885107,0.00531766818958329
"v","10","C",1404.9088914279,1395.25969680543,1421.31159664368
"v","10","D",787.233897098633,782.475219651626,794.498497712866
"v","2","C",91.1982248330949,89.5874271106286,94.6644983554574
"v","2","D",7.26832661308149,7.15203643002155,7.51311440985814
"v","3","C",67.7309203523109,66.6890202928162,70.0562934393782
"v","3","D",7.35821636840497,7.26286199398637,7.56818525926278
"v","4","C",481.206191274668,477.135316348706,489.388728529318
"v","4","D",59.890780173263,59.473334495339,60.7226930869516
"v","5","C",743.781598946369,737.782354655637,755.907943046383
"v","5","D",111.41468878019,110.653782836671,112.840668589448
"v","6","C",661.383764554354,655.720267855733,673.32499892083
"v","6","D",132.172289895935,131.228113015687,133.980276891581
"v","7","C",1014.1356700122,1005.01775402535,1033.51363245342
"v","7","D",276.494925177155,274.454377002659,280.427470630998
"v","8","C",1573.08066658462,1557.4389651835,1607.71116670886
"v","8","D",603.219882093432,598.440395539986,612.920696991675
"v","9","C",1290.42705046945,1279.06653477886,1314.36688025702
"v","9","D",622.703956089659,618.273030443701,631.010220521887
"w","1","C",0.087716535949282,0.0851861846741061,0.0906895952270814
"w","1","D",0.0052286981189311,0.004340020041883,0.00621076277578119
"w","10","C",2124.18581853072,2109.6897664191,2149.28956779046
"w","10","D",1189.18800941427,1181.5872544202,1200.49564659293
"w","2","C",3.41425113783436,3.09872477103663,4.0054203574599
"w","2","D",0.130859848938657,0.0768987359110815,0.192854417191097
"w","3","C",113.053287762662,106.939180898609,119.944772877844
"w","3","D",8.79534615576068,5.04622699695239,12.8913626520061
"w","4","C",1131.53846316136,1103.15814123556,1162.76210805517
"w","4","D",123.049681284032,104.203315466416,143.786128358067
"w","5","C",1889.12182390635,1840.19309978716,1942.03545448949
"w","5","D",245.255868235688,205.18486397346,289.297237797077
"w","6","C",1646.73886524442,1611.45248869089,1686.35595762101
"w","6","D",294.49621303463,257.982073547693,334.92225162338
"w","7","C",2379.11753135811,2330.32426489517,2435.85150997386
"w","7","D",585.063865421049,517.93584489898,659.486004709332
"w","8","C",2746.74540694895,2717.94233578956,2807.67856611765
"w","8","D",1044.58604024387,1030.58787353835,1064.72159635526
"w","9","C",3347.81787234518,3317.57602860276,3410.45837342104
"w","9","D",1611.73946475581,1598.95602793727,1634.79558226538
