"dose","age_group","compartment","mean","q025","q975"
"b","1","C",3.22819931341893e-16,2.31429997745132e-16,4.78022145614239e-16
"b","1","D",0.000000000000157425085876117,0.0000000000000593120686490748,0.000000000000302538940076416
"b","10","C",721.998026578143,599.472212434515,854.978285197711
"b","10","D",135.906970287038,56.0140536704301,249.218103619495
"b","2","C",0.000209522445092011,0.000172931384877889,0.000251761923722253
"b","2","D",0.00000590500663512066,0.0000024000926755447,0.0000108553105822559
"b","3","C",0.156508650378317,0.128879097034236,0.188030941520464
"b","3","D",0.00560520740593234,0.00228772934461753,0.0103176868996462
"b","4","C",22.1223521358214,18.2940746711199,26.4155900114134
"b","4","D",0.958030250909415,0.389993810149803,1.77172442562469
"b","5","C",99.3024673278964,82.3520976984811,118.421939568868
"b","5","D",4.99992170134831,2.04466514447778,9.24596842245041
"b","6","C",169.075577488873,140.121346645517,201.638851926061
"b","6","D",11.2182062001393,4.59175841932696,20.7176902946713
"b","7","C",533.172538007462,440.180248366293,637.265678244829
"b","7","D",48.0637850934485,19.6547473706718,88.831440653749
"b","8","C",1016.49191490994,838.144366916649,1217.82216717692
"b","8","D",129.107251260715,52.7538839784718,238.828061852762
"b","9","C",1111.78959023056,917.540769622879,1329.94675837169
"b","9","D",178.377034887434,72.9522353311251,329.698768814073
"u","1","C",135.135581312509,132.576204867123,141.207575314416
"u","1","D",9.38208980683998,9.22699399931425,9.73461155338625
"u","10","C",48.9017959562373,48.4938626161929,49.722001249445
"u","10","D",28.2501117707641,28.053020362111,28.6001993468074
"u","2","C",173.529316110662,169.528579735846,183.071142100371
"u","2","D",14.1604978479672,13.8755666706469,14.8382451544421
"u","3","C",31.2213037197897,30.4320284599514,33.1012992802004
"u","3","D",3.38165489792813,3.30744636308021,3.55746570262333
"u","4","C",170.573564914102,168.27062859054,175.649598170497
"u","4","D",21.4278190046514,21.1802590243093,21.9736064451194
"u","5","C",689.701601107586,681.314807103727,708.227889327767
"u","5","D",104.703408114578,103.627189001801,107.104246474091
"u","6","C",534.030800584931,527.393143007264,548.69886932596
"u","6","D",108.221334618267,107.100069069385,110.72597324153
"u","7","C",251.130772507557,247.413891084757,259.369523809354
"u","7","D",69.561039720179,68.7124386326981,71.4265368919636
"u","8","C",193.124007595319,189.929083097806,200.455553970083
"u","8","D",75.1554180154095,74.1365927752529,77.393506650643
"u","9","C",56.8310183809922,55.9523282572568,58.8107516409173
"u","9","D",27.9462244974361,27.5931471686501,28.7259918303692
"v","1","C",0.0032399826239769,0.00318034992673543,0.00338054279996889
"v","1","D",0.000224958214548174,0.000221353880132689,0.00023308562472854
"v","10","C",247.34844707451,245.293517011014,251.433428093193
"v","10","D",142.431361239346,141.425488412887,144.183371264755
"v","2","C",12.7256017578972,12.4372393315506,13.4141044453154
"v","2","D",1.03849800900486,1.01796365926199,1.0872478724109
"v","3","C",32.2314454626095,31.5179921256905,33.9359812488056
"v","3","D",3.4936801629349,3.42703393720734,3.65265210064777
"v","4","C",213.483753578985,210.853313325648,219.278896521953
"v","4","D",26.7623564997665,26.4815274458147,27.3817006481072
"v","5","C",280.895243612236,277.820892067094,287.726130414815
"v","5","D",42.5342790600575,42.1419130890011,43.402470725338
"v","6","C",240.770193742437,238.105460419642,246.689363770769
"v","6","D",48.6502888965356,48.2022840197424,49.6383755979123
"v","7","C",273.524558516138,269.987932025366,281.335331052316
"v","7","D",75.6056052341417,74.8033281109526,77.3975077584905
"v","8","C",220.582543810859,217.320436429874,227.836082068157
"v","8","D",85.75650576259,84.7212974605272,88.0316019507484
"v","9","C",163.532135529646,161.129517362345,168.867819564583
"v","9","D",80.3598351161249,79.3978564319782,82.4861150545533
"w","1","C",0.000574800722353547,0.000543324378012603,0.000610237619721249
"w","1","D",0.0000285622548563109,0.000016303578067075,0.0000419356141443591
"w","10","C",708.119491934122,702.151479191717,720.078756574301
"w","10","D",406.479383972524,403.18408937308,412.091504786745
"w","2","C",0.00716352393415155,0.00678483663798401,0.00761942193466656
"w","2","D",0.000437547939626874,0.000279345763816269,0.000612914994623763
"w","3","C",40.0339037741251,37.6659621794987,42.8926025864585
"w","3","D",3.1066866322842,1.77517521614644,4.57346371403977
"w","4","C",400.840318954369,385.644949838086,417.816673324282
"w","4","D",40.5906693418336,30.3167548610322,51.9299853019184
"w","5","C",747.161189695863,722.609170205204,774.402361364573
"w","5","D",94.7874486382037,75.2342118048822,116.353036610365
"w","6","C",772.152064028387,750.131814577348,798.450633604223
"w","6","D",134.603765665362,111.74662628507,159.814706559463
"w","7","C",1017.71049929427,992.451066822616,1049.86992836076
"w","7","D",250.22500528408,216.73096585793,287.23110575185
"w","8","C",1005.69639016308,990.399867025891,1040.34727719188
"w","8","D",384.493270366413,375.569054949313,397.693154897624
"w","9","C",861.658614450326,848.646122667284,891.171706117076
"w","9","D",421.369658564666,415.638257466352,433.579140460692
