"sample","dose","age_group","compartment","value"
"1","b","1","C",1.01910005665432e-15
"1","b","1","D",0.00000000000915567924487369
"1","b","10","C",30.6824962135338
"1","b","10","D",4.54335902707631
"1","b","2","C",0.0000651576774322848
"1","b","2","D",0.00000151823514371417
"1","b","3","C",0.0156267434613286
"1","b","3","D",0.000453676709706849
"1","b","4","C",1.32719699108313
"1","b","4","D",0.0588820978368036
"1","b","5","C",4.56310963141656
"1","b","5","D",0.208707104114845
"1","b","6","C",7.66578403394226
"1","b","6","D",0.42726564429653
"1","b","7","C",21.9346399590387
"1","b","7","D",1.56900907535891
"1","b","8","C",69.2593366616798
"1","b","8","D",6.88447952704276
"1","b","9","C",71.6729099368334
"1","b","9","D",8.8982516143596
"1","u","1","C",19.5021479879038
"1","u","1","D",1.19600702180196
"1","u","10","C",3.37249417393487
"1","u","10","D",1.65600303513373
"1","u","2","C",35.4700045220872
"1","u","2","D",2.57800808483521
"1","u","3","C",8.95911070120748
"1","u","3","D",0.874345836137562
"1","u","4","C",40.2788346123412
"1","u","4","D",4.58847341188247
"1","u","5","C",74.688882032566
"1","u","5","D",10.1444377796417
"1","u","6","C",72.4080424262531
"1","u","6","D",12.9420621187856
"1","u","7","C",80.0833844957296
"1","u","7","D",19.210348775388
"1","u","8","C",24.7565907054687
"1","u","8","D",8.18931247716085
"1","u","9","C",7.28011694077252
"1","u","9","D",3.01721111253514
"1","v","1","C",0.000587388791509536
"1","v","1","D",0.0000359040226725456
"1","v","10","C",21.0872258895947
"1","v","10","D",10.3453223954191
"1","v","2","C",0.349332506669853
"1","v","2","D",0.0252414825286547
"1","v","3","C",4.81860731301461
"1","v","3","D",0.46645954604766
"1","v","4","C",17.4067938413244
"1","v","4","D",1.97743048516651
"1","v","5","C",25.4802109077135
"1","v","5","D",3.45196771843909
"1","v","6","C",23.4815227887692
"1","v","6","D",4.18465638820473
"1","v","7","C",33.4285027981011
"1","v","7","D",7.9900017945393
"1","v","8","C",40.4420002200401
"1","v","8","D",13.3385386145903
"1","v","9","C",32.4301721074914
"1","v","9","D",13.4227941028175
"1","w","1","C",0.000101308393210743
"1","w","1","D",0.0000037198043590315
"1","w","10","C",68.6676281095192
