"sample","dose","age_group","compartment","value"
"1","b","1","C",0.000627787233992051
"1","b","1","D",0.0000193445832365266
"1","b","10","C",1413.43472628253
"1","b","10","D",236.494409231739
"1","b","2","C",0.00169422806464052
"1","b","2","D",0.0000645005170529553
"1","b","3","C",0.110261269429458
"1","b","3","D",0.00383431045707734
"1","b","4","C",49.2627258900079
"1","b","4","D",2.15280065513789
"1","b","5","C",196.507402732616
"1","b","5","D",9.03639052636782
"1","b","6","C",317.544246147156
"1","b","6","D",18.9123777369525
"1","b","7","C",885.240758914387
"1","b","7","D",70.9533810327043
"1","b","8","C",2378.9992388746
"1","b","8","D",268.134667457016
"1","b","9","C",2291.22894774109
"1","b","9","D",325.02161083643
"1","u","1","C",377.393547781184
"1","u","1","D",26.1404633605873
"1","u","10","C",149.396041773116
"1","u","10","D",84.0502114296586
"1","u","2","C",349.25994103661
"1","u","2","D",29.1067300156123
"1","u","3","C",132.166661517876
"1","u","3","D",14.4100887913758
"1","u","4","C",874.443583656093
"1","u","4","D",109.229492827351
"1","u","5","C",1656.67639184052
"1","u","5","D",249.290748879346
"1","u","6","C",1428.50976253034
"1","u","6","D",287.016881599919
"1","u","7","C",1905.44901442337
"1","u","7","D",522.88344045116
"1","u","8","C",909.124287476825
"1","u","8","D",350.51500979025
"1","u","9","C",736.527378584295
"1","u","9","D",356.268373596614
"1","v","1","C",0.0749898084931559
"1","v","1","D",0.00518486305335674
"1","v","10","C",1403.28320159106
"1","v","10","D",787.004358066383
"1","v","2","C",90.4214348810659
"1","v","2","D",7.21324342550263
"1","v","3","C",67.1921698091571
"1","v","3","D",7.30911037019545
"1","v","4","C",479.450775890581
"1","v","4","D",59.722879691676
"1","v","5","C",741.503361030895
"1","v","5","D",111.173942786087
"1","v","6","C",659.140701112871
"1","v","6","D",131.85759402076
"1","v","7","C",1010.46331949068
"1","v","7","D",275.810712591718
"1","v","8","C",1566.518059642
"1","v","8","D",601.480572625108
"1","v","9","C",1286.08739703338
"1","v","9","D",621.336885428709
"1","w","1","C",0.0861161130854611
"1","w","1","D",0.00483122494734263
"1","w","10","C",2121.2219041601
"1","w","10","D",1187.69911076335
"1","w","2","C",3.20189784074773
"1","w","2","D",0.104856567645273
"1","w","3","C",109.139792635219
"1","w","3","D",7.16218845129438
"1","w","4","C",1113.95432616893
"1","w","4","D",114.71737575972
"1","w","5","C",1859.66555286069
"1","w","5","D",227.776173756886
"1","w","6","C",1625.13544391179
"1","w","6","D",278.370733984222
"1","w","7","C",2349.12503130948
"1","w","7","D",555.383268313973
"1","w","8","C",2732.45769823237
"1","w","8","D",1037.15899498986
"1","w","9","C",3335.37156035434
"1","w","9","D",1606.10684603062
"2","b","1","C",0.000688314063690211
"2","b","1","D",0.0000128967621521211
"2","b","10","C",1524.5394016103
"2","b","10","D",160.084759889439
"2","b","2","C",0.00186567316488839
"2","b","2","D",0.0000430049813972818
"2","b","3","C",0.121950124320786
"2","b","3","D",0.00264063575299879
"2","b","4","C",53.6758690875595
"2","b","4","D",1.45107146684392
"2","b","5","C",213.95005208408
"2","b","5","D",6.15125938560814
"2","b","6","C",346.277172831125
"2","b","6","D",12.9212930213282
"2","b","7","C",966.686857126947
"2","b","7","D",48.5776949372977
"2","b","8","C",2601.71942685366
"2","b","8","D",183.778791050225
"2","b","9","C",2496.5956026459
"2","b","9","D",221.988703338313
"2","u","1","C",384.747968949955
"2","u","1","D",26.5720327961407
"2","u","10","C",150.913987453143
"2","u","10","D",84.7032327034464
"2","u","2","C",355.404829956042
"2","u","2","D",29.5302453413832
"2","u","3","C",135.889216714945
"2","u","3","D",14.7546773889014
"2","u","4","C",887.55734767209
"2","u","4","D",110.586616046086
"2","u","5","C",1680.4462674444
"2","u","5","D",252.222159745524
"2","u","6","C",1450.48298792305
"2","u","6","D",290.595675053813
"2","u","7","C",1936.60142666235
"2","u","7","D",529.695771346175
"2","u","8","C",924.811941383437
"2","u","8","D",355.289195835576
"2","u","9","C",747.017936818184
"2","u","9","D",360.249506788896
"2","v","1","C",0.0763433482273652
"2","v","1","D",0.00526395964527708
"2","v","10","C",1417.63235974364
"2","v","10","D",793.131406951061
"2","v","2","C",92.9573324537185
"2","v","2","D",7.39810910910825
"2","v","3","C",68.8030183423217
"2","v","3","D",7.45730085185813
"2","v","4","C",486.311988097232
"2","v","4","D",60.4296952778814
"2","v","5","C",751.449081120283
"2","v","5","D",112.39137372706
"2","v","6","C",668.431347474328
"2","v","6","D",133.357106874676
"2","v","7","C",1025.21248757742
"2","v","7","D",278.998160677147
"2","v","8","C",1591.17390667196
"2","v","8","D",608.914095465612
"2","v","9","C",1304.0936841251
"2","v","9","D",628.15262005081
"2","w","1","C",0.0887860241415184
"2","w","1","D",0.00552293668120668
"2","w","10","C",2143.4953749794
"2","w","10","D",1198.83071408748
"2","w","2","C",3.62004271239288
"2","w","2","D",0.152984063168763
"2","w","3","C",114.73580358217
"2","w","3","D",9.91527117804919
"2","w","4","C",1143.23011531482
"2","w","4","D",129.203310103031
"2","w","5","C",1908.06576212099
"2","w","5","D",258.108968835562
"2","w","6","C",1663.77121816416
"2","w","6","D",306.871845958693
"2","w","7","C",2404.28415166377
"2","w","7","D",608.177478501453
"2","w","8","C",2778.97195530419
"2","w","8","D",1057.34439600843
"2","w","9","C",3383.70320042988
"2","w","9","D",1627.25398172493
"3","b","1","C",0.000665561533300512
"3","b","1","D",0.0000245833341381607
"3","b","10","C",1466.82208076732
"3","b","10","D",299.853050979112
"3","b","2","C",0.00180626804856709
"3","b","2","D",0.0000821547161631426
"3","b","3","C",0.11821449373746
"3","b","3","D",0.00499513685320899
"3","b","4","C",51.8031121705164
"3","b","4","D",2.74410921544775
"3","b","5","C",206.44099678658
"3","b","5","D",11.5730193487216
"3","b","6","C",334.275391405928
"3","b","6","D",24.293202645923
"3","b","7","C",933.575003303275
"3","b","7","D",91.3191391048872
"3","b","8","C",2513.75400227892
"3","b","8","D",345.616513050334
"3","b","9","C",2409.37889008827
"3","b","9","D",417.033986759027
"3","u","1","C",384.265544504814
"3","u","1","D",26.5371995940279
"3","u","10","C",150.480732298194
"3","u","10","D",84.473116347598
"3","u","2","C",355.212891118196
"3","u","2","D",29.5186854121977
"3","u","3","C",135.794242960645
"3","u","3","D",14.7450582768748
"3","u","4","C",885.581569955566
"3","u","4","D",110.353893551787
