"dose","age_group","compartment","mean","q025","q975"
"b","1","C",0.000629889735852683,0.000521750480240024,0.000750841471105443
"b","1","D",0.0000214061674391109,0.00000875810185213903,0.000039331524606257
"b","10","C",1382.30275129494,1150.22939163653,1629.81788307163
"b","10","D",254.116124985917,104.894532848014,469.6372284633
"b","2","C",0.00169650094908821,0.00140094778058024,0.00202783054750567
"b","2","D",0.0000713027953154249,0.0000290897797198126,0.000130954552733136
"b","3","C",0.111401667063113,0.0918055035144268,0.13359221587789
"b","3","D",0.0042565188764759,0.00172475262718716,0.00785670538332401
"b","4","C",49.0786680517602,40.7590215440366,58.2372576619172
"b","4","D",2.36519002856345,0.980296731582707,4.33578549636117
"b","5","C",195.443828830571,162.276909629088,231.774230245384
"b","5","D",9.88596818394149,4.03774170057357,18.1785140467735
"b","6","C",316.551737714335,262.893466518171,375.769618623484
"b","6","D",20.7182880145304,8.48028615040057,38.2240687709378
"b","7","C",884.460270369824,734.722597770043,1051.16927869727
"b","7","D",77.8506087665804,31.8824393034484,143.580913918167
"b","8","C",2378.79518573151,1974.58692936475,2830.06671436023
"b","8","D",294.225378299663,120.431315607742,542.988675527705
"b","9","C",2275.02458289167,1888.97007092221,2698.62688210193
"b","9","D",354.132267903166,145.247656332975,652.738521262146
"u","1","C",378.867014942689,374.189113123286,389.107365866103
"u","1","D",26.1925948127875,25.9200430135187,26.7901333876701
"u","10","C",148.635306593449,147.664858447004,150.211422525509
"u","10","D",83.3717922632539,82.890747857146,84.0746034278272
"u","2","C",62.2439260904133,61.5162159232751,62.9831584758065
"u","2","D",6.01429814398803,5.93983248864338,6.08814749536064
"u","3","C",132.923020987745,130.557095403856,138.307750601432
"u","3","D",14.4584856170464,14.2404042329328,14.9407035813266
"u","4","C",876.263026068997,868.49324297609,892.475021461382
"u","4","D",109.27150963102,108.474810435295,110.889503620145
"u","5","C",1658.48939571803,1644.29736486968,1688.29921406129
"u","5","D",249.08011072717,247.290470817512,252.534088488165
"u","6","C",1431.15910840391,1417.73695361557,1459.90012553157
"u","6","D",286.94189828278,284.740599760266,291.276093515434
"u","7","C",1910.33490109656,1890.91392772611,1953.34870568338
"u","7","D",523.011720695437,518.7426049188,532.04580532749
"u","8","C",911.481272191914,901.554873698233,933.388435728557
"u","8","D",350.479488581702,347.448478624932,357.011986509387
"u","9","C",736.582349081595,730.114642657923,750.212563684363
"u","9","D",355.232906455442,352.714220590038,359.939913035899
"v","1","C",0.0752249006721017,0.0743764662060823,0.0770892501938597
"v","1","D",0.00519120857330694,0.00514211503027184,0.00529933549463229
"v","10","C",1395.65836370905,1386.33679950559,1410.78104704143
"v","10","D",780.344043115005,775.730388342657,787.033265916973
"v","2","C",210.375973892914,208.304334274825,214.629449437693
"v","2","D",17.1769443735982,17.0150285778655,17.5130703008901
"v","3","C",67.4645783290335,66.4525925629278,69.7010042349318
"v","3","D",7.32153600010044,7.22943545180116,7.524629879101
"v","4","C",480.229025077142,476.228065541527,488.319067634793
"v","4","D",59.7185639184273,59.3086687999471,60.5257038656846
"v","5","C",741.799359430407,735.909534620329,753.743402440412
"v","5","D",111.001519198924,110.25803748897,112.369931656062
"v","6","C",659.790846799943,654.215131905201,671.282255394944
"v","6","D",131.707530841977,130.77571379797,133.478335297432
"v","7","C",1011.96366641419,1002.98063943113,1031.07307224898
"v","7","D",275.579899434827,273.567512443046,279.368067534401
"v","8","C",1569.11085820528,1553.75018852556,1603.03975654386
"v","8","D",600.842417242911,596.144452308117,610.076753860487
"v","9","C",1285.88631839834,1274.82095539852,1309.25066477642
"v","9","D",619.378941749503,615.051669084584,627.39589284911
"w","1","C",0.0875117248087408,0.0849947450520889,0.0904871709296397
"w","1","D",0.00521207484382881,0.00432715397304324,0.00619020653996306
"w","10","C",2110.44892807012,2096.47159361594,2133.79891922456
"w","10","D",1178.93995504682,1171.39680512683,1189.5937563417
"w","2","C",16.5140819524455,14.9935072808564,19.2402030788295
"w","2","D",0.646099797398191,0.368140172364002,0.964786493439395
"w","3","C",112.598283494019,106.550885869987,119.471712315802
"w","3","D",8.75011922704218,5.02149414894613,12.8280009091596
"w","4","C",1129.1300449824,1100.8939227039,1160.1983479365
"w","4","D",122.686410022153,103.908083449295,143.34727231326
"w","5","C",1883.83878204868,1835.3274369354,1936.37446408254
"w","5","D",244.317579101313,204.379763821083,288.203411206558
"w","6","C",1642.55888309313,1607.60778250147,1681.92998207042
"w","6","D",293.418852536528,257.044231823865,333.67514871159
"w","7","C",2373.74124222976,2325.36553642449,2429.68259153753
"w","7","D",583.042749372736,516.215887848277,657.175120484704
"w","8","C",2739.9053443836,2711.64795729478,2799.71378416703
"w","8","D",1040.53429203269,1026.62267062594,1060.40547244037
"w","9","C",3336.14766960843,3306.66567797104,3397.3158074079
"w","9","D",1603.21261427756,1590.69999426378,1625.57684358526
