vacina,agegroup,data,doses,n
AZ,1,2021-03-06,D1,1
AZ,1,2021-03-06,D2,0
AZ,1,2021-03-06,DU,0
AZ,1,2021-03-06,R,0
AZ,1,2021-03-29,D1,1
AZ,1,2021-03-29,D2,0
AZ,1,2021-03-29,DU,0
AZ,1,2021-03-29,R,0
AZ,1,2021-04-09,D1,1
AZ,1,2021-04-09,D2,0
AZ,1,2021-04-09,DU,0
AZ,1,2021-04-09,R,0
AZ,1,2021-04-14,D1,1
AZ,1,2021-04-14,D2,0
AZ,1,2021-04-14,DU,0
AZ,1,2021-04-14,R,0
AZ,1,2021-06-18,D1,1
AZ,1,2021-06-18,D2,0
AZ,1,2021-06-18,DU,0
AZ,1,2021-06-18,R,0
AZ,1,2021-07-04,D1,1
AZ,1,2021-07-04,D2,0
AZ,1,2021-07-04,DU,0
AZ,1,2021-07-04,R,0
AZ,1,2021-07-09,D1,0
AZ,1,2021-07-09,D2,1
AZ,1,2021-07-09,DU,0
AZ,1,2021-07-09,R,0
AZ,1,2021-07-16,D1,0
AZ,1,2021-07-16,D2,1
AZ,1,2021-07-16,DU,0
AZ,1,2021-07-16,R,0
AZ,1,2021-07-19,D1,1
AZ,1,2021-07-19,D2,0
AZ,1,2021-07-19,DU,0
AZ,1,2021-07-19,R,0
AZ,2,2021-01-29,D1,2
AZ,2,2021-01-29,D2,0
AZ,2,2021-01-29,DU,0
AZ,2,2021-01-29,R,0
AZ,2,2021-02-01,D1,2
AZ,2,2021-02-01,D2,0
AZ,2,2021-02-01,DU,0
AZ,2,2021-02-01,R,0
AZ,2,2021-02-02,D1,7
AZ,2,2021-02-02,D2,0
AZ,2,2021-02-02,DU,0
AZ,2,2021-02-02,R,0
AZ,2,2021-02-03,D1,2
AZ,2,2021-02-03,D2,0
AZ,2,2021-02-03,DU,0
AZ,2,2021-02-03,R,0
AZ,2,2021-02-04,D1,13
AZ,2,2021-02-04,D2,0
AZ,2,2021-02-04,DU,0
AZ,2,2021-02-04,R,0
AZ,2,2021-02-05,D1,5
AZ,2,2021-02-05,D2,0
AZ,2,2021-02-05,DU,0
AZ,2,2021-02-05,R,0
